receiver,receiver_status,projectname,projectcode,projectmember,drop_dead_date,download_date_time,deploy_date_time,recover_date_time,bottom_depth,riser_length,instrument_depth,check_complete_time,sync_date_time,voltage_at_deploy,ar_confirm,data_downloaded,voltage_at_download,time_drift,comments,id_pk,receiver_fk,location_name,location_manager,location_description,deploy_lat,deploy_long,recover_lat,recover_long,station_name,intended_lat,intended_long,date_created,date_modified,battery_install_date,ar_battery_install_date,distance_to_mouth,source,transmit_profile,transmit_power_output,log_temperature_stats_period,log_temperature_sample_period,log_tilt_sample_period,log_noise_stats_period,log_noise_sample_period,log_depth_stats_period,log_depth_sample_period,project_fk,mooring_type,deployment_type,activation_datetime,valid_data_until_datetime
VR2AR-545720,Active,BPNS,bpns,0,2017-06-04T00:00:00Z,2016-10-27T00:00:00Z,2016-09-20T00:00:00Z,2016-10-25T10:00:00Z,,,,,,,,VR2AR_545720_20161027_1.csv,,,,2210,1245,bpns-CNB06,,,51.66882,2.80399,51.66873,2.80411,bpns-CNB06,51.66882,2.80399,2016-09-23T09:11:55Z,2016-10-27T09:21:35Z,,,,,Sync,High,86400,3600,600,600,600,3600,3600,9,,acoustic_telemetry,,
VR2W-112291,Lost,Bovenschelde,bovenschelde,1,,2012-02-28T00:00:00Z,2012-02-03T00:00:00Z,2012-02-28T00:00:00Z,,,,,,,,VR2W_112291_20120228_1.csv,,,,2397,1096,Zeeschelde - Schellebelle - Voetveer,,,51.0134877965,3.9296841228,,,Wett,,,2016-10-18T14:37:34Z,2016-10-18T14:37:35Z,,,,,,,,,,,,,,11,,acoustic_telemetry,,
VR2W-108474,Broken,BPNS,bpns,0,2016-09-26T00:00:00Z,2016-03-10T00:00:00Z,2015-10-26T00:00:00Z,2016-03-10T00:00:00Z,,,,,,,,VR2W_108474_20160310_1.csv,,,,1686,1053,S4,1,"",51.417167,3.0475,51.4172,3.0475,bpns-S4,,,2016-01-27T15:40:07Z,2016-03-11T14:04:17Z,,,,,,,,,,,,,,9,,acoustic_telemetry,,
VR2C-450114,Available,BPNS,bpns,0,,,2015-07-28T00:00:00Z,2015-07-28T00:00:00Z,,,,,,,,,,,,1689,1216,B05 Belwind,4,,51.671667,2.796965,51.6717,2.797,bpns-B05BELWIND,51.671667,2.796965,2016-01-28T10:36:10Z,2016-09-15T16:04:30Z,,,,,,,,,,,,,,9,,acoustic_telemetry,,
VR2W-115432,Lost,Bovenschelde,bovenschelde,1,,2012-02-29T00:00:00Z,2012-01-26T00:00:00Z,2012-02-29T00:00:00Z,,,,,,,,VR2W_115432_20120229_1.csv,,,,2409,1057,Bovenschelde - 400m SO monding Maarkebeek,,,50.8321883972,3.5878719729,,,soMrbk,,,2016-10-18T14:56:59Z,2016-10-18T14:57:00Z,,,,,,,,,,,,,,11,,acoustic_telemetry,,
VR2W-112287,Active,Zeeschelde,zeeschelde,1,2017-02-22T14:00:00Z,2016-10-11T00:00:00Z,2016-10-11T00:00:00Z,2016-10-11T00:00:00Z,,,,,,,,VR2W_112287_20161011_2.csv,,,,2294,1209,Gontrode,,"Gontrode Heirweg 4 Melle, onder de brug",51.00588,3.77876,51.00588,3.77876,s-2,51.00588,3.77876,2016-10-11T20:38:51Z,2016-10-11T20:40:40Z,,,,,,,,,,,,,,5,,acoustic_telemetry,,
VR2AR-545588,Returned to manufacturer,Westerschelde 1,ws1,0,,2015-01-20T00:00:00Z,2014-12-19T00:00:00Z,2015-01-20T00:00:00Z,,,,,,,,VR2AR_545588_20150120_1.csv,,,,1687,1255,250m,,,51.40839,3.45679,,,WS-250m,51.40839,3.45679,2016-01-28T10:19:26Z,2016-10-03T12:12:19Z,,,,,,,,,,,,,,613,,acoustic_telemetry,,
VR2W-123818,Lost,Westerschelde 1,ws1,0,2016-12-09T00:00:00Z,2015-09-09T00:00:00Z,2015-04-14T00:00:00Z,2015-09-09T00:00:00Z,,,,,,,,VR2W_123818_20150909_1.csv,,,,1789,1154,GVW-SP,5,,51.447341,3.470514,51.44734,3.47051,ws-GVWSP,,,2016-01-28T11:58:54Z,2016-10-03T12:18:04Z,,,,,,,,,,,,,,613,,acoustic_telemetry,,
VR2W-113524,Active,Dijle,dijle,1,2017-05-22T00:00:00Z,2016-09-29T00:00:00Z,2016-02-22T00:00:00Z,2016-09-29T00:00:00Z,,,,,,,,VR2W_113524_20160929_1.csv,,,", has_weight:, is_moored:, deploy_number:",1337,1128,Rupel,,,51.082219,4.366229,51.08231,4.36622,me-7-2,51.082219,4.366229,2016-01-22T10:59:28Z,2016-10-05T09:58:21Z,,,,source excel inbo,,,,,,,,,,12,,acoustic_telemetry,,
VR2W-120885,Active,Westerschelde 2,ws2,1,2017-12-22T00:00:00Z,2018-01-30T00:00:00Z,2017-02-15T00:00:00Z,2018-01-30T00:00:00Z,,,,,,,,VR2W_120885_20180130_1.csv,,,,2537,1199,1 PPB,5,Paulinapolder,51.353339,3.7522275,51.3536,3.7376,ws-PPB,51.353339,3.7522275,2017-02-15T19:24:23Z,2018-02-05T17:01:26Z,,,,,,,,,,,,,,614,,acoustic_telemetry,,
VR2W-123813,Lost,Westerschelde 1,ws1,0,2016-12-09T00:00:00Z,2015-09-09T00:00:00Z,2015-04-14T00:00:00Z,2015-09-09T00:00:00Z,,,,,,,,VR2W_123813_20150909_1.csv,,,,1784,1250,STEEN,5,"",51.403409,3.465898,51.40341,3.46589,ws-STEEN,,,2016-01-28T11:58:50Z,2016-01-28T11:58:50Z,,,,,,,,,,,,,,613,,acoustic_telemetry,,
VR2W-123813,Lost,Westerschelde 1,ws1,0,2016-12-09T00:00:00Z,2015-04-14T00:00:00Z,2015-02-10T00:00:00Z,2015-04-14T00:00:00Z,,,,,,,,VR2W_123813_20150414_1.csv,,,", has_weight:TRUE, is_moored:TRUE, deploy_number:2",1617,1250,STEEN,5,,51.403409,3.465898,51.40341,3.46589,ws-STEEN,51.403409,3.465898,2016-01-22T10:59:28Z,2016-07-04T21:53:01Z,,,,source excel inbo,,,,,,,,,,613,,acoustic_telemetry,,
VR2W-120881,Lost,Westerschelde 2,ws2,1,2016-07-30T00:00:00Z,2015-04-15T00:00:00Z,2015-01-22T00:00:00Z,2015-04-15T00:00:00Z,,,,,,,,VR2W_120881_20150415_1.csv,,,", has_weight:TRUE, is_moored:TRUE, deploy_number:2",2142,1073,4 A3,,,51.3655375,3.734487,,,ws-A3,51.3655375,3.734487,2016-07-19T12:10:58Z,2016-07-19T12:13:01Z,,,,,,,,,,,,,,614,,acoustic_telemetry,,
VR2W-113528,Broken,Bovenschelde,bovenschelde,1,,2012-07-23T00:00:00Z,2012-02-28T00:00:00Z,2012-06-30T00:00:00Z,,,,,,,,VR2W_113528_20120723_1.csv,,,,2302,1039,Tijarm - Begin Tijarm,,,51.0051514753,3.7460791718,,,T0,,,2016-10-17T21:15:02Z,2016-10-17T21:17:34Z,,,,,,,,,,,,,,11,,acoustic_telemetry,,
VR2W-120876,Active,Westerschelde 2,ws2,1,2016-07-30T00:00:00Z,2016-09-22T00:00:00Z,2016-03-01T00:00:00Z,2016-09-22T00:00:00Z,,,,,,,,VR2W_120876_20160922_1.csv,,,,2141,1224,11 ISO 8s 13,,Centraal in de Schelde,51.4071859,3.7080883,51.40719,3.70809,ws-13,51.4071859,3.7080883,2016-07-19T11:46:05Z,2016-09-23T11:09:44Z,,,,,,,,,,,,,,614,,acoustic_telemetry,,
VR2W-122348,Available,Dijle,dijle,1,2016-11-09T00:00:00Z,2015-05-28T00:00:00Z,2015-05-15T00:00:00Z,2015-05-28T00:00:00Z,,,,,,,,VR2W_122348_20150528_1.csv,,,,1757,1218,"","",RO brug R12 (thv McDonalds) (enkel bij laag water bereikbaar),51.0340958,4.471940005,,,M-5,,,2016-01-28T11:37:34Z,2016-01-28T11:37:39Z,,,,,,,,,,,,,,12,,acoustic_telemetry,,
