serial_number,type,model,id_code,tag_code_space,owner_pi,id_pk,activation_date,min_delay,max_delay,power,end_date,file,estimated_lifetime,sensor_type,frequency,acoustic_tag_type,min_delay_step2,max_delay_step2,power_step2,min_delay_step3,max_delay_step3,power_step3,duration_step1,duration_step2,duration_step3,manufacturer_fk,intercept,slope,owner_group_fk,thelma_converted_code,financing_project_fk,acceleration_on_sec_step1,acceleration_on_sec_step2,acceleration_on_sec_step3,min_delay_step4,max_delay_step4,power_step4,duration_step4,acceleration_on_sec_step4,range,units,accelerometer_algoritm,accelerometer_samples_per_second,sensor_transmit_ratio,tag_full_id,status,projectcode
1228004,Acoustic,V13P-1x,100,A69-1105,RAF BAEYENS,759,,17,33,L,,TagSheet_20217.csv,301,P,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1105-100,ENDED,2013_albertkanaal
1255008,Acoustic,V13-1x,47307,A69-1601,Raf Baeyens,1403,,60,120,L,,,644,,069k,animal,60,120,L,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-47307,AVAILABLE,2013_albertkanaal
1255009,Acoustic,V13-1x,47308,A69-1601,RAF BAEYENS,1404,,17,33,L,,,644,,069k,animal,60,120,L,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-47308,AVAILABLE,2013_albertkanaal
1097341,Acoustic,V9-1x,20701,A69-1303,JAN REUBENS,63,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,7,,,,,,,,,,,,,,,,A69-1303-20701,ENDED,phd_reubens
1097342,Acoustic,V9-1x,20702,A69-1303,JAN REUBENS,64,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,7,,,,,,,,,,,,,,,,A69-1303-20702,ENDED,phd_reubens
1097343,Acoustic,V9-1x,20703,A69-1303,JAN REUBENS,65,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,7,,,,,,,,,,,,,,,,A69-1303-20703,ENDED,phd_reubens
1097344,Acoustic,V9-1x,20704,A69-1303,JAN REUBENS,66,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,7,,,,,,,,,,,,,,,,A69-1303-20704,ENDED,phd_reubens
1104380,Acoustic,V7-4x,41135,A69-1303,DAVID BUYSSE,98,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41135,ENDED,2011_rivierprik
1104381,Acoustic,V7-4x,41136,A69-1303,DAVID BUYSSE,99,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41136,ENDED,2011_rivierprik
1104382,Acoustic,V7-4x,41137,A69-1303,DAVID BUYSSE,100,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41137,ENDED,2011_rivierprik
1104383,Acoustic,V7-4x,41138,A69-1303,DAVID BUYSSE,101,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41138,ENDED,2011_rivierprik
1104384,Acoustic,V7-4x,41139,A69-1303,DAVID BUYSSE,102,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41139,ENDED,2011_rivierprik
1104385,Acoustic,V7-4x,41140,A69-1303,DAVID BUYSSE,103,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41140,ENDED,2011_rivierprik
1104386,Acoustic,V7-4x,41141,A69-1303,DAVID BUYSSE,104,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41141,ENDED,2011_rivierprik
1104387,Acoustic,V7-4x,41142,A69-1303,DAVID BUYSSE,105,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41142,ENDED,2011_rivierprik
1104388,Acoustic,V7-4x,41143,A69-1303,DAVID BUYSSE,106,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41143,ENDED,2011_rivierprik
1104389,Acoustic,V8-4x,41249,A69-1303,DAVID BUYSSE,107,,85,140,L,,allTags_readyForDb.csv,154,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41249,ENDED,2011_rivierprik
1224921,Acoustic,V13-1x,38725,A69-1601,RAF BAEYENS,726,,17,33,L,,allTags_readyForDb.csv,507,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-38725,ENDED,2013_albertkanaal
1255010,Acoustic,V13-1x,47309,A69-1601,RAF BAEYENS,1405,,17,33,L,,,644,,069k,animal,60,120,L,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-47309,AVAILABLE,2013_albertkanaal
1104391,Acoustic,V8-4x,41251,A69-1303,DAVID BUYSSE,109,,85,140,L,,allTags_readyForDb.csv,154,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41251,ENDED,2011_rivierprik
1104392,Acoustic,V8-4x,41252,A69-1303,DAVID BUYSSE,110,,85,140,L,,allTags_readyForDb.csv,154,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41252,ENDED,2011_rivierprik
1104393,Acoustic,V8-4x,41253,A69-1303,DAVID BUYSSE,111,,85,140,L,,allTags_readyForDb.csv,154,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41253,ENDED,2011_rivierprik
1104394,Acoustic,V8-4x,41254,A69-1303,DAVID BUYSSE,112,,85,140,L,,allTags_readyForDb.csv,154,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41254,ENDED,2011_rivierprik
1104395,Acoustic,V8-4x,41255,A69-1303,DAVID BUYSSE,113,,85,140,L,,allTags_readyForDb.csv,154,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41255,ENDED,2011_rivierprik
1105426,Acoustic,V7-4x,41629,A69-1303,DAVID BUYSSE,116,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41629,ENDED,2011_rivierprik
1105427,Acoustic,V7-4x,41630,A69-1303,DAVID BUYSSE,117,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41630,ENDED,2011_rivierprik
1105428,Acoustic,V7-4x,41631,A69-1303,DAVID BUYSSE,118,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41631,ENDED,2011_rivierprik
1105429,Acoustic,V7-4x,41632,A69-1303,DAVID BUYSSE,119,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41632,ENDED,2011_rivierprik
1105430,Acoustic,V7-4x,41633,A69-1303,DAVID BUYSSE,120,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41633,ENDED,2011_rivierprik
1105431,Acoustic,V7-4x,41634,A69-1303,DAVID BUYSSE,121,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41634,ENDED,2011_rivierprik
1105432,Acoustic,V7-4x,41635,A69-1303,DAVID BUYSSE,122,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41635,ENDED,2011_rivierprik
1105433,Acoustic,V7-4x,41636,A69-1303,DAVID BUYSSE,123,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41636,ENDED,2011_rivierprik
1105434,Acoustic,V7-4x,41637,A69-1303,DAVID BUYSSE,124,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41637,ENDED,2011_rivierprik
1105435,Acoustic,V7-4x,41638,A69-1303,DAVID BUYSSE,125,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41638,ENDED,2011_rivierprik
1105436,Acoustic,V7-4x,41639,A69-1303,DAVID BUYSSE,126,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41639,ENDED,2011_rivierprik
1105437,Acoustic,V7-4x,41640,A69-1303,DAVID BUYSSE,127,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41640,ENDED,2011_rivierprik
1105438,Acoustic,V7-4x,41641,A69-1303,DAVID BUYSSE,128,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41641,ENDED,2011_rivierprik
1157744,Acoustic,V13-1x,28259,A69-1601,DAVID BUYSSE,264,,45,95,L,,allTags_readyForDb.csv,1219,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-28259,ENDED,2013_albertkanaal
