serial_number,type,model,id_code,tag_code_space,owner_pi,id_pk,activation_date,min_delay,max_delay,power,end_date,file,estimated_lifetime,sensor_type,frequency,acoustic_tag_type,min_delay_step2,max_delay_step2,power_step2,min_delay_step3,max_delay_step3,power_step3,duration_step1,duration_step2,duration_step3,manufacturer_fk,intercept,slope,owner_group_fk,thelma_converted_code,financing_project_fk,acceleration_on_sec_step1,acceleration_on_sec_step2,acceleration_on_sec_step3,min_delay_step4,max_delay_step4,power_step4,duration_step4,acceleration_on_sec_step4,range,units,accelerometer_algoritm,accelerometer_samples_per_second,sensor_transmit_ratio,tag_full_id,status,projectcode,scientific_name,animal_id_pk
1228004,Acoustic,V13P-1x,100,A69-1105,RAF BAEYENS,759,,17,33,L,,TagSheet_20217.csv,301,P,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1105-100,ended,2013_albertkanaal,Anguilla anguilla,720
1255008,Acoustic,V13-1x,47307,A69-1601,Raf Baeyens,1403,,60,120,L,,,644,,069k,animal,60,120,L,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-47307,available,2013_albertkanaal,Anguilla anguilla,2301
1255009,Acoustic,V13-1x,47308,A69-1601,RAF BAEYENS,1404,,17,33,L,,,644,,069k,animal,60,120,L,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-47308,available,2013_albertkanaal,Anguilla anguilla,2302
1097341,Acoustic,V9-1x,20701,A69-1303,JAN REUBENS,63,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,7,,,,,,,,,,,,,,,,A69-1303-20701,ended,phd_reubens,Gadus morhua,681
1097342,Acoustic,V9-1x,20702,A69-1303,JAN REUBENS,64,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,7,,,,,,,,,,,,,,,,A69-1303-20702,ended,phd_reubens,Gadus morhua,682
1097343,Acoustic,V9-1x,20703,A69-1303,JAN REUBENS,65,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,7,,,,,,,,,,,,,,,,A69-1303-20703,ended,phd_reubens,Gadus morhua,683
1097344,Acoustic,V9-1x,20704,A69-1303,JAN REUBENS,66,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,7,,,,,,,,,,,,,,,,A69-1303-20704,ended,phd_reubens,Gadus morhua,684
1104380,Acoustic,V7-4x,41135,A69-1303,DAVID BUYSSE,98,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41135,ended,2011_rivierprik,Lampetra fluviatilis,561
1104381,Acoustic,V7-4x,41136,A69-1303,DAVID BUYSSE,99,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41136,ended,2011_rivierprik,Lampetra fluviatilis,562
1104382,Acoustic,V7-4x,41137,A69-1303,DAVID BUYSSE,100,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41137,ended,2011_rivierprik,Lampetra fluviatilis,563
1104383,Acoustic,V7-4x,41138,A69-1303,DAVID BUYSSE,101,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41138,ended,2011_rivierprik,Lampetra fluviatilis,564
1104384,Acoustic,V7-4x,41139,A69-1303,DAVID BUYSSE,102,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41139,ended,2011_rivierprik,Lampetra fluviatilis,565
1104385,Acoustic,V7-4x,41140,A69-1303,DAVID BUYSSE,103,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41140,ended,2011_rivierprik,Lampetra fluviatilis,566
1104386,Acoustic,V7-4x,41141,A69-1303,DAVID BUYSSE,104,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41141,ended,2011_rivierprik,Lampetra fluviatilis,567
1104387,Acoustic,V7-4x,41142,A69-1303,DAVID BUYSSE,105,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41142,ended,2011_rivierprik,Lampetra fluviatilis,568
1104388,Acoustic,V7-4x,41143,A69-1303,DAVID BUYSSE,106,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41143,ended,2011_rivierprik,Lampetra fluviatilis,569
1104389,Acoustic,V8-4x,41249,A69-1303,DAVID BUYSSE,107,,85,140,L,,allTags_readyForDb.csv,154,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41249,ended,2011_rivierprik,Lampetra fluviatilis,570
1224921,Acoustic,V13-1x,38725,A69-1601,RAF BAEYENS,726,,17,33,L,,allTags_readyForDb.csv,507,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-38725,ended,2013_albertkanaal,Anguilla anguilla,704
