serial_number,type,model,id_code,tag_code_space,owner_pi,id_pk,activation_date,min_delay,max_delay,power,end_date,file,estimated_lifetime,sensor_type,frequency,acoustic_tag_type,min_delay_step2,max_delay_step2,power_step2,min_delay_step3,max_delay_step3,power_step3,duration_step1,duration_step2,duration_step3,manufacturer_fk,intercept,slope,owner_group_fk,thelma_converted_code,financing_project_fk,acceleration_on_sec_step1,acceleration_on_sec_step2,acceleration_on_sec_step3,min_delay_step4,max_delay_step4,power_step4,duration_step4,acceleration_on_sec_step4,range,units,accelerometer_algoritm,accelerometer_samples_per_second,sensor_transmit_ratio,tag_full_id,status,projectcode,scientific_name,animal_id_pk
1255010,Acoustic,V13-1x,47309,A69-1601,RAF BAEYENS,1405,,17,33,L,,,644,,069k,animal,60,120,L,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-47309,available,2013_albertkanaal,Anguilla anguilla,2303
1104391,Acoustic,V8-4x,41251,A69-1303,DAVID BUYSSE,109,,85,140,L,,allTags_readyForDb.csv,154,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41251,ended,2011_rivierprik,Lampetra fluviatilis,572
1104392,Acoustic,V8-4x,41252,A69-1303,DAVID BUYSSE,110,,85,140,L,,allTags_readyForDb.csv,154,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41252,ended,2011_rivierprik,Lampetra fluviatilis,573
1104393,Acoustic,V8-4x,41253,A69-1303,DAVID BUYSSE,111,,85,140,L,,allTags_readyForDb.csv,154,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41253,ended,2011_rivierprik,Lampetra fluviatilis,574
1104394,Acoustic,V8-4x,41254,A69-1303,DAVID BUYSSE,112,,85,140,L,,allTags_readyForDb.csv,154,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41254,ended,2011_rivierprik,Lampetra fluviatilis,575
1104395,Acoustic,V8-4x,41255,A69-1303,DAVID BUYSSE,113,,85,140,L,,allTags_readyForDb.csv,154,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41255,ended,2011_rivierprik,Lampetra fluviatilis,576
1105426,Acoustic,V7-4x,41629,A69-1303,DAVID BUYSSE,116,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41629,ended,2011_rivierprik,Lampetra fluviatilis,577
1105427,Acoustic,V7-4x,41630,A69-1303,DAVID BUYSSE,117,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41630,ended,2011_rivierprik,Lampetra fluviatilis,578
1105428,Acoustic,V7-4x,41631,A69-1303,DAVID BUYSSE,118,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41631,ended,2011_rivierprik,Lampetra fluviatilis,579
1105429,Acoustic,V7-4x,41632,A69-1303,DAVID BUYSSE,119,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41632,ended,2011_rivierprik,Lampetra fluviatilis,580
1105430,Acoustic,V7-4x,41633,A69-1303,DAVID BUYSSE,120,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41633,ended,2011_rivierprik,Lampetra fluviatilis,581
1105431,Acoustic,V7-4x,41634,A69-1303,DAVID BUYSSE,121,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41634,ended,2011_rivierprik,Lampetra fluviatilis,582
1105432,Acoustic,V7-4x,41635,A69-1303,DAVID BUYSSE,122,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41635,ended,2011_rivierprik,Lampetra fluviatilis,583
1105433,Acoustic,V7-4x,41636,A69-1303,DAVID BUYSSE,123,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41636,ended,2011_rivierprik,Lampetra fluviatilis,584
1105434,Acoustic,V7-4x,41637,A69-1303,DAVID BUYSSE,124,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41637,ended,2011_rivierprik,Lampetra fluviatilis,585
1105435,Acoustic,V7-4x,41638,A69-1303,DAVID BUYSSE,125,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41638,ended,2011_rivierprik,Lampetra fluviatilis,586
1105436,Acoustic,V7-4x,41639,A69-1303,DAVID BUYSSE,126,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41639,ended,2011_rivierprik,Lampetra fluviatilis,587
1105437,Acoustic,V7-4x,41640,A69-1303,DAVID BUYSSE,127,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41640,ended,2011_rivierprik,Lampetra fluviatilis,588
1105438,Acoustic,V7-4x,41641,A69-1303,DAVID BUYSSE,128,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41641,ended,2011_rivierprik,Lampetra fluviatilis,589
1157744,Acoustic,V13-1x,28259,A69-1601,DAVID BUYSSE,264,,45,95,L,,allTags_readyForDb.csv,1219,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-28259,ended,2013_albertkanaal,Anguilla anguilla,373
1214068,Acoustic,V7-2x,34477,A69-1601,ANS MOUTON,609,,15,30,L,,allTags_readyForDb.csv,64,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-34477,ended,2013_albertkanaal,Salmo salar,515
1255011,Acoustic,V13-1x,47310,A69-1601,RAF BAEYENS,1406,,17,33,L,,,644,,069k,animal,60,120,L,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-47310,available,2013_albertkanaal,Anguilla anguilla,2304
1105439,Acoustic,V7-4x,41642,A69-1303,DAVID BUYSSE,129,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41642,ended,2011_rivierprik,Lampetra fluviatilis,590
1105440,Acoustic,V7-4x,41643,A69-1303,DAVID BUYSSE,130,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41643,ended,2011_rivierprik,Lampetra fluviatilis,591
1105441,Acoustic,V7-4x,41644,A69-1303,DAVID BUYSSE,131,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41644,ended,2011_rivierprik,Lampetra fluviatilis,592
1105442,Acoustic,V7-4x,41645,A69-1303,DAVID BUYSSE,132,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41645,ended,2011_rivierprik,Lampetra fluviatilis,593
1105443,Acoustic,V7-4x,41646,A69-1303,DAVID BUYSSE,133,,45,95,L,,allTags_readyForDb.csv,157,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1303-41646,ended,2011_rivierprik,Lampetra fluviatilis,594
1116296,Acoustic,V9-1x,1688,A69-1601,JAN REUBENS,134,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1688,ended,phd_reubens,Gadus morhua,685
1116297,Acoustic,V9-1x,1689,A69-1601,JAN REUBENS,135,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1689,ended,phd_reubens,Gadus morhua,686
1116298,Acoustic,V9-1x,1690,A69-1601,JAN REUBENS,136,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1690,ended,phd_reubens,Gadus morhua,687
1116299,Acoustic,V9-1x,1691,A69-1601,JAN REUBENS,137,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1691,ended,phd_reubens,Gadus morhua,688
1116300,Acoustic,V9-1x,1692,A69-1601,JAN REUBENS,138,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1692,ended,phd_reubens,Gadus morhua,689
1116301,Acoustic,V9-1x,1693,A69-1601,JAN REUBENS,139,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1693,ended,phd_reubens,Gadus morhua,690
1116302,Acoustic,V9-1x,1694,A69-1601,JAN REUBENS,140,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1694,ended,phd_reubens,Gadus morhua,691
1116303,Acoustic,V9-1x,1695,A69-1601,JAN REUBENS,141,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1695,ended,phd_reubens,Gadus morhua,692
1116304,Acoustic,V9-1x,1696,A69-1601,JAN REUBENS,142,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1696,ended,phd_reubens,Gadus morhua,693
1116305,Acoustic,V9-1x,1697,A69-1601,JAN REUBENS,143,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1697,ended,phd_reubens,Gadus morhua,694
1116306,Acoustic,V9-1x,1698,A69-1601,JAN REUBENS,144,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1698,ended,phd_reubens,Gadus morhua,695
1116307,Acoustic,V9-1x,1699,A69-1601,JAN REUBENS,145,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1699,ended,phd_reubens,Gadus morhua,696
1116308,Acoustic,V9-1x,1700,A69-1601,JAN REUBENS,146,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1700,ended,phd_reubens,Gadus morhua,697
1116309,Acoustic,V9-1x,1701,A69-1601,JAN REUBENS,147,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1701,ended,phd_reubens,Gadus morhua,698
1116310,Acoustic,V9-1x,1702,A69-1601,JAN REUBENS,148,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1702,ended,phd_reubens,Gadus morhua,699
1116311,Acoustic,V9-1x,1703,A69-1601,JAN REUBENS,149,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1703,ended,phd_reubens,Gadus morhua,700
1116312,Acoustic,V9-1x,1704,A69-1601,JAN REUBENS,150,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1704,ended,phd_reubens,Gadus morhua,701
1116313,Acoustic,V9-1x,1705,A69-1601,JAN REUBENS,151,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1705,ended,phd_reubens,Gadus morhua,702
1116315,Acoustic,V9-1x,1707,A69-1601,JAN REUBENS,153,,110,250,L,,allTags_readyForDb.csv,405,,069k,animal,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,A69-1601-1707,ended,phd_reubens,Gadus morhua,703
1122107,Acoustic,V13-1x,31854,A69-1601,DAVID BUYSSE,154,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31854,ended,2012_leopoldkanaal,Anguilla anguilla,438
1122108,Acoustic,V13-1x,31855,A69-1601,DAVID BUYSSE,155,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31855,ended,2012_leopoldkanaal,Anguilla anguilla,439
1122109,Acoustic,V13-1x,31856,A69-1601,DAVID BUYSSE,156,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31856,ended,2012_leopoldkanaal,Anguilla anguilla,440
1122110,Acoustic,V13-1x,31857,A69-1601,DAVID BUYSSE,157,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31857,ended,2012_leopoldkanaal,Anguilla anguilla,441
1122111,Acoustic,V13-1x,31858,A69-1601,DAVID BUYSSE,158,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31858,ended,2012_leopoldkanaal,Anguilla anguilla,442
1122112,Acoustic,V13-1x,31859,A69-1601,DAVID BUYSSE,159,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31859,ended,2012_leopoldkanaal,Anguilla anguilla,443
1122113,Acoustic,V13-1x,31860,A69-1601,DAVID BUYSSE,160,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31860,ended,2012_leopoldkanaal,Anguilla anguilla,444
1122114,Acoustic,V13-1x,31861,A69-1601,DAVID BUYSSE,161,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31861,ended,2012_leopoldkanaal,Anguilla anguilla,445
1122115,Acoustic,V13-1x,31862,A69-1601,DAVID BUYSSE,162,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31862,ended,2012_leopoldkanaal,Anguilla anguilla,446
1214114,Acoustic,V7-2x,34523,A69-1601,ANS MOUTON,655,,15,30,L,,allTags_readyForDb.csv,64,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-34523,ended,2013_albertkanaal,Salmo salar,2205
1255012,Acoustic,V13-1x,47311,A69-1601,RAF BAEYENS,1407,,17,33,L,,,644,,069k,animal,60,120,L,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-47311,available,2013_albertkanaal,Anguilla anguilla,2305
1122116,Acoustic,V13-1x,31863,A69-1601,DAVID BUYSSE,163,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31863,ended,2012_leopoldkanaal,Anguilla anguilla,447
1122117,Acoustic,V13-1x,31864,A69-1601,DAVID BUYSSE,164,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31864,ended,2012_leopoldkanaal,Anguilla anguilla,448
1122118,Acoustic,V13-1x,31865,A69-1601,DAVID BUYSSE,165,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31865,ended,2012_leopoldkanaal,Anguilla anguilla,449
1122119,Acoustic,V13-1x,31866,A69-1601,DAVID BUYSSE,166,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31866,ended,2012_leopoldkanaal,Anguilla anguilla,450
1122120,Acoustic,V13-1x,31867,A69-1601,DAVID BUYSSE,167,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31867,ended,2012_leopoldkanaal,Anguilla anguilla,451
1122121,Acoustic,V13-1x,31868,A69-1601,DAVID BUYSSE,168,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31868,ended,2012_leopoldkanaal,Anguilla anguilla,452
1122122,Acoustic,V13-1x,31869,A69-1601,DAVID BUYSSE,169,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31869,ended,2012_leopoldkanaal,Anguilla anguilla,453
1122123,Acoustic,V13-1x,31870,A69-1601,DAVID BUYSSE,170,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31870,ended,2012_leopoldkanaal,Anguilla anguilla,454
1122124,Acoustic,V13-1x,31871,A69-1601,DAVID BUYSSE,171,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31871,ended,2012_leopoldkanaal,Anguilla anguilla,455
1122125,Acoustic,V13-1x,31872,A69-1601,DAVID BUYSSE,172,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31872,ended,2012_leopoldkanaal,Anguilla anguilla,456
1122126,Acoustic,V13-1x,31873,A69-1601,DAVID BUYSSE,173,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31873,ended,2012_leopoldkanaal,Anguilla anguilla,457
1122127,Acoustic,V13-1x,31874,A69-1601,DAVID BUYSSE,174,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31874,ended,2012_leopoldkanaal,Anguilla anguilla,458
1122128,Acoustic,V13-1x,31875,A69-1601,DAVID BUYSSE,175,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31875,ended,2012_leopoldkanaal,Anguilla anguilla,459
1122129,Acoustic,V13-1x,31876,A69-1601,DAVID BUYSSE,176,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31876,ended,2012_leopoldkanaal,Anguilla anguilla,460
1122130,Acoustic,V13-1x,31877,A69-1601,DAVID BUYSSE,177,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31877,ended,2012_leopoldkanaal,Anguilla anguilla,461
1122131,Acoustic,V13-1x,31878,A69-1601,DAVID BUYSSE,178,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31878,ended,2012_leopoldkanaal,Anguilla anguilla,462
1122132,Acoustic,V13-1x,31879,A69-1601,DAVID BUYSSE,179,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31879,ended,2012_leopoldkanaal,Anguilla anguilla,463
1122133,Acoustic,V13-1x,31880,A69-1601,DAVID BUYSSE,180,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31880,ended,2012_leopoldkanaal,Anguilla anguilla,464
1122134,Acoustic,V13-1x,31881,A69-1601,DAVID BUYSSE,181,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31881,ended,2012_leopoldkanaal,Anguilla anguilla,465
1122135,Acoustic,V13-1x,31882,A69-1601,DAVID BUYSSE,182,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31882,ended,2012_leopoldkanaal,Anguilla anguilla,466
1122136,Acoustic,V13-1x,31883,A69-1601,DAVID BUYSSE,183,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31883,ended,2012_leopoldkanaal,Anguilla anguilla,467
1122137,Acoustic,V13-1x,31884,A69-1601,DAVID BUYSSE,184,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31884,ended,2012_leopoldkanaal,Anguilla anguilla,468
1122138,Acoustic,V13-1x,31885,A69-1601,DAVID BUYSSE,185,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31885,ended,2012_leopoldkanaal,Anguilla anguilla,469
1122139,Acoustic,V13-1x,31886,A69-1601,DAVID BUYSSE,186,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31886,ended,2012_leopoldkanaal,Anguilla anguilla,470
1122140,Acoustic,V13-1x,31887,A69-1601,DAVID BUYSSE,187,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31887,ended,2012_leopoldkanaal,Anguilla anguilla,471
1122141,Acoustic,V13-1x,31888,A69-1601,DAVID BUYSSE,188,,90,160,L,,allTags_readyForDb.csv,1155,,069k,animal,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,A69-1601-31888,ended,2012_leopoldkanaal,Anguilla anguilla,472
