serial_number,model_number,modem_address,expected_battery_life,ar_model_number,ar_serial_number,ar_expected_battery_life,ar_voltage_at_deploy,ar_tilt_after_deploy,ar_interrogate_code,ar_receive_frequency,ar_reply_frequency,ar_ping_rate,ar_enable_code_address,ar_release_code,ar_disable_code,ar_tilt_code,id_pk,receiver,built_in_tag_fk,status,receiver_type,manufacturer_fk,owner_group_fk,financing_project_fk,projectcode,owner_organisation
124059,VR2W,,,,,,,,,,,,,,,,1194,VR2W-124059,,Active,acoustic_telemetry,1,4,,maas,INBO
131978,VR2W,,,,,,,,,,,,,,,,1621,VR2W-131978,,Active,acoustic_telemetry,1,7,,bpns,VLIZ
124072,VR2W,,,,,,,,,,,,,,,,1147,VR2W-124072,,Lost,acoustic_telemetry,1,4,,albert,INBO
113524,VR2W,,,,,,,,,,,,,,,,1128,VR2W-113524,,Active,acoustic_telemetry,1,4,,dijle,INBO
112299,VR2W,,,,,,,,,,,,,,,,1025,VR2W-112299,,Lost,acoustic_telemetry,1,4,,bovenschelde,INBO
129709,VR2W,,,,,,,,,,,,,,,,1292,VR2W-129709,,Active,acoustic_telemetry,1,7,,bpns,VLIZ
112294,VR2W,,,,,,,,,,,,,,,,1134,VR2W-112294,,Active,acoustic_telemetry,1,4,,bpns,INBO
546048,VR2AR,,,,,,,,,,,,,,,,1266,VR2AR-546048,1389,Active,acoustic_telemetry,1,7,,bpns,VLIZ
113528,VR2W,,,,,,,,,,,,,,,,1039,VR2W-113528,,Active,acoustic_telemetry,1,4,,bovenschelde,INBO
115436,VR2W,,,,,,,,,,,,,,,,1106,VR2W-115436,,Active,acoustic_telemetry,1,4,,bovenschelde,INBO
450114,VR2C,,,,,,,,,,,,,,,,1216,VR2C-450114,,Available,acoustic_telemetry,1,7,,bpns,VLIZ
123825,VR2W,,,,,,,,,,,,,,,,1153,VR2W-123825,,Available,acoustic_telemetry,1,7,,bpns,VLIZ
546047,VR2AR,,,,,,,,,,,,,,,,1265,VR2AR-546047,1388,Active,acoustic_telemetry,1,7,,bpns,VLIZ
113529,VR2W,,,,,,,,,,,,,,,,1244,VR2W-113529,,Active,acoustic_telemetry,1,4,,bovenschelde,INBO
108474,VR2W,,,,,,,,,,,,,,,,1053,VR2W-108474,,Broken,acoustic_telemetry,1,7,,bpns,VLIZ
122350,VR2W,,,,,,,,,,,,,,,,1045,VR2W-122350,,Lost,acoustic_telemetry,1,4,,dijle,INBO
115444,VR2W,,,,,,,,,,,,,,,,1217,VR2W-115444,,Active,acoustic_telemetry,1,4,,bovenschelde,INBO
122350,VR2W,,,,,,,,,,,,,,,,1045,VR2W-122350,,Lost,acoustic_telemetry,1,4,,demer,INBO
122334,VR2W,,,,,,,,,,,,,,,,1150,VR2W-122334,,Available,acoustic_telemetry,1,4,,albert,INBO
131000,VR2W,,,,,,,,,,,,,,,,1326,VR2W-131000,,Active,acoustic_telemetry,1,7,,bpns,VLIZ
4833,VR2,,,,,,,,,,,,,,,,1312,VR2-4833,,Returned to manufacturer,acoustic_telemetry,1,4,,bovenschelde,INBO
123826,VR2W,,,,,,,,,,,,,,,,1072,VR2W-123826,,Lost,acoustic_telemetry,1,7,,saeftinghe,VLIZ
