"","scientific_name","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Anguilla anguilla",NA,5,99,5,58,83,91,50,11
"2","Cyprinus carpio",NA,NA,NA,NA,NA,2,NA,NA,NA
"3","Gadus morhua",19,22,NA,NA,NA,NA,NA,NA,NA
"4","Homarus gammarus",NA,NA,NA,NA,2,NA,NA,NA,NA
"5","Lampetra fluviatilis",NA,17,22,NA,NA,NA,NA,NA,NA
"6","Petromyzon marinus",NA,NA,NA,NA,2,NA,NA,NA,NA
"7","Platichthys flesus",NA,NA,NA,NA,NA,8,NA,NA,NA
"8","Rutilus rutilus",NA,NA,NA,NA,2,4,NA,NA,NA
"9","Salmo salar",NA,NA,NA,NA,20,42,44,29,NA
"10","Silurus glanis",NA,NA,NA,NA,9,11,NA,NA,NA
"11","Squalius cephalus",NA,NA,NA,NA,3,NA,NA,NA,NA
