pk,tag_id,tag_id_alternative,telemetry_type,manufacturer,model,frequency,type,serial_number,tag_id_protocol,tag_id_code,status,activation_date,battery_estimated_life,battery_estimated_end_date,sensor_type,sensor_slope,sensor_intercept,sensor_range,sensor_transmit_ratio,accelerometer_algorithm,accelerometer_samples_per_second,owner_organization,owner_pi,financing_project,step1_min_delay,step1_max_delay,step1_power,step1_duration,step1_acceleration_duration,step2_min_delay,step2_max_delay,step2_power,step2_duration,step2_acceleration_duration,step3_min_delay,step3_max_delay,step3_power,step3_duration,step3_acceleration_duration,step4_min_delay,step4_max_delay,step4_power,step4_duration,step4_acceleration_duration
105,A69-1303-41142,R64K-41142,Acoustic,VEMCO,V7-4x,069k,animal,1104387,A69-1303,41142,ENDED,,157,2012-06-13T23:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
106,A69-1303-41143,R64K-41143,Acoustic,VEMCO,V7-4x,069k,animal,1104388,A69-1303,41143,ENDED,,157,2011-06-17T23:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
107,A69-1303-41249,R64K-41249,Acoustic,VEMCO,V8-4x,069k,animal,1104389,A69-1303,41249,ENDED,,154,2011-06-14T23:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
108,A69-1303-41250,R64K-41250,Acoustic,VEMCO,V8-4x,069k,animal,1104390,A69-1303,41250,ENDED,,154,2012-06-12T13:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
109,A69-1303-41251,R64K-41251,Acoustic,VEMCO,V8-4x,069k,animal,1104391,A69-1303,41251,ENDED,,154,2012-06-12T13:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
110,A69-1303-41252,R64K-41252,Acoustic,VEMCO,V8-4x,069k,animal,1104392,A69-1303,41252,ENDED,,154,2012-05-18T17:15:00Z,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
111,A69-1303-41253,R64K-41253,Acoustic,VEMCO,V8-4x,069k,animal,1104393,A69-1303,41253,ENDED,,154,2012-06-15T17:20:00Z,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
112,A69-1303-41254,R64K-41254,Acoustic,VEMCO,V8-4x,069k,animal,1104394,A69-1303,41254,ENDED,,154,2011-06-29T10:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
113,A69-1303-41255,R64K-41255,Acoustic,VEMCO,V8-4x,069k,animal,1104395,A69-1303,41255,ENDED,,154,2012-06-11T11:30:00Z,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
116,A69-1303-41629,R64K-41629,Acoustic,VEMCO,V7-4x,069k,animal,1105426,A69-1303,41629,ENDED,,157,2012-05-18T16:30:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
117,A69-1303-41630,R64K-41630,Acoustic,VEMCO,V7-4x,069k,animal,1105427,A69-1303,41630,ENDED,,157,2012-06-02T13:56:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
118,A69-1303-41631,R64K-41631,Acoustic,VEMCO,V7-4x,069k,animal,1105428,A69-1303,41631,ENDED,,157,2012-06-09T23:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
119,A69-1303-41632,R64K-41632,Acoustic,VEMCO,V7-4x,069k,animal,1105429,A69-1303,41632,ENDED,,157,2012-06-09T23:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
120,A69-1303-41633,R64K-41633,Acoustic,VEMCO,V7-4x,069k,animal,1105430,A69-1303,41633,ENDED,,157,2012-06-13T23:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
121,A69-1303-41634,R64K-41634,Acoustic,VEMCO,V7-4x,069k,animal,1105431,A69-1303,41634,ENDED,,157,2012-06-02T13:56:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
122,A69-1303-41635,R64K-41635,Acoustic,VEMCO,V7-4x,069k,animal,1105432,A69-1303,41635,ENDED,,157,2012-06-15T13:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
123,A69-1303-41636,R64K-41636,Acoustic,VEMCO,V7-4x,069k,animal,1105433,A69-1303,41636,ENDED,,157,2012-06-15T14:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
124,A69-1303-41637,R64K-41637,Acoustic,VEMCO,V7-4x,069k,animal,1105434,A69-1303,41637,ENDED,,157,2012-06-15T14:30:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
125,A69-1303-41638,R64K-41638,Acoustic,VEMCO,V7-4x,069k,animal,1105435,A69-1303,41638,ENDED,,157,2012-06-15T13:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
126,A69-1303-41639,R64K-41639,Acoustic,VEMCO,V7-4x,069k,animal,1105436,A69-1303,41639,ENDED,,157,2012-06-14T12:30:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
127,A69-1303-41640,R64K-41640,Acoustic,VEMCO,V7-4x,069k,animal,1105437,A69-1303,41640,ENDED,,157,2012-06-08T23:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
128,A69-1303-41641,R64K-41641,Acoustic,VEMCO,V7-4x,069k,animal,1105438,A69-1303,41641,ENDED,,157,2012-06-08T23:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
129,A69-1303-41642,R64K-41642,Acoustic,VEMCO,V7-4x,069k,animal,1105439,A69-1303,41642,ENDED,,157,2012-06-14T11:30:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
130,A69-1303-41643,R64K-41643,Acoustic,VEMCO,V7-4x,069k,animal,1105440,A69-1303,41643,ENDED,,157,2012-06-15T13:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
131,A69-1303-41644,R64K-41644,Acoustic,VEMCO,V7-4x,069k,animal,1105441,A69-1303,41644,ENDED,,157,2012-06-09T23:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
132,A69-1303-41645,R64K-41645,Acoustic,VEMCO,V7-4x,069k,animal,1105442,A69-1303,41645,ENDED,,157,2012-05-19T14:30:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
133,A69-1303-41646,R64K-41646,Acoustic,VEMCO,V7-4x,069k,animal,1105443,A69-1303,41646,ENDED,,157,2012-05-19T14:30:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
