pk,tag_id,tag_id_alternative,telemetry_type,manufacturer,model,frequency,type,serial_number,tag_id_protocol,tag_id_code,status,activation_date,battery_estimated_life,battery_estimated_end_date,sensor_type,sensor_slope,sensor_intercept,sensor_range,sensor_transmit_ratio,accelerometer_algorithm,accelerometer_samples_per_second,owner_organization,owner_pi,financing_project,step1_min_delay,step1_max_delay,step1_power,step1_duration,step1_acceleration_duration,step2_min_delay,step2_max_delay,step2_power,step2_duration,step2_acceleration_duration,step3_min_delay,step3_max_delay,step3_power,step3_duration,step3_acceleration_duration,step4_min_delay,step4_max_delay,step4_power,step4_duration,step4_acceleration_duration
204,A69-1303-3547,R64K-3547,Acoustic,VEMCO,V7-4x,069k,animal,1128927,A69-1303,3547,ENDED,,157,2012-06-28T19:10:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
205,A69-1303-3548,R64K-3548,Acoustic,VEMCO,V7-4x,069k,animal,1128928,A69-1303,3548,ENDED,,157,2012-06-28T19:25:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
206,A69-1303-3549,R64K-3549,Acoustic,VEMCO,V7-4x,069k,animal,1128929,A69-1303,3549,ENDED,,157,2012-06-28T19:25:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
212,A69-1303-3555,R64K-3555,Acoustic,VEMCO,V7-4x,069k,animal,1128935,A69-1303,3555,ENDED,,157,2013-05-09T19:05:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
213,A69-1303-3556,R64K-3556,Acoustic,VEMCO,V7-4x,069k,animal,1128936,A69-1303,3556,ENDED,,157,2012-06-28T19:10:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
98,A69-1303-41135,R64K-41135,Acoustic,VEMCO,V7-4x,069k,animal,1104380,A69-1303,41135,ENDED,,157,2011-06-11T23:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
99,A69-1303-41136,R64K-41136,Acoustic,VEMCO,V7-4x,069k,animal,1104381,A69-1303,41136,ENDED,,157,2011-07-23T13:36:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
100,A69-1303-41137,R64K-41137,Acoustic,VEMCO,V7-4x,069k,animal,1104382,A69-1303,41137,ENDED,,157,2012-05-18T16:30:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
101,A69-1303-41138,R64K-41138,Acoustic,VEMCO,V7-4x,069k,animal,1104383,A69-1303,41138,ENDED,,157,2011-07-02T10:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
102,A69-1303-41139,R64K-41139,Acoustic,VEMCO,V7-4x,069k,animal,1104384,A69-1303,41139,ENDED,,157,2011-06-11T23:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
103,A69-1303-41140,R64K-41140,Acoustic,VEMCO,V7-4x,069k,animal,1104385,A69-1303,41140,ENDED,,157,2011-06-11T23:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
104,A69-1303-41141,R64K-41141,Acoustic,VEMCO,V7-4x,069k,animal,1104386,A69-1303,41141,ENDED,,157,2011-06-17T23:00:00Z,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
