eventid,occurrenceid,eventdate,scientificname,kingdom
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335513:occurrence-detection,2015-12-12T23:26:47Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335530:occurrence-detection,2015-12-12T23:48:04Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335554:occurrence-detection,2015-12-13T00:20:18Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335555:occurrence-detection,2015-12-13T00:20:53Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335564:occurrence-detection,2015-12-13T00:31:10Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335565:occurrence-detection,2015-12-13T00:32:11Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335567:occurrence-detection,2015-12-13T00:32:46Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335570:occurrence-detection,2015-12-13T00:34:25Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335572:occurrence-detection,2015-12-13T00:35:33Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335573:occurrence-detection,2015-12-13T00:36:02Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335574:occurrence-detection,2015-12-13T00:37:50Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335577:occurrence-detection,2015-12-13T00:39:45Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335578:occurrence-detection,2015-12-13T00:40:17Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335579:occurrence-detection,2015-12-13T00:41:15Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335580:occurrence-detection,2015-12-13T00:41:41Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335581:occurrence-detection,2015-12-13T00:42:11Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335584:occurrence-detection,2015-12-13T00:42:34Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335585:occurrence-detection,2015-12-13T00:42:59Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335586:occurrence-detection,2015-12-13T00:43:28Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335588:occurrence-detection,2015-12-13T00:44:04Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335590:occurrence-detection,2015-12-13T00:45:12Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335591:occurrence-detection,2015-12-13T00:46:50Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335593:occurrence-detection,2015-12-13T00:47:20Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335594:occurrence-detection,2015-12-13T00:47:45Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335596:occurrence-detection,2015-12-13T00:49:13Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335597:occurrence-detection,2015-12-13T00:49:48Z,Anguilla anguilla,Animalia
