eventid,occurrenceid,eventdate,scientificname,kingdom
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335598:occurrence-detection,2015-12-13T00:50:21Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335599:occurrence-detection,2015-12-13T00:50:50Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335600:occurrence-detection,2015-12-13T00:51:28Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335601:occurrence-detection,2015-12-13T00:52:42Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335602:occurrence-detection,2015-12-13T00:53:19Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335603:occurrence-detection,2015-12-13T00:53:56Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335606:occurrence-detection,2015-12-13T00:55:11Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335607:occurrence-detection,2015-12-13T00:55:48Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335608:occurrence-detection,2015-12-13T00:56:24Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335610:occurrence-detection,2015-12-13T00:57:34Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335612:occurrence-detection,2015-12-13T00:58:30Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335614:occurrence-detection,2015-12-13T00:58:59Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335615:occurrence-detection,2015-12-13T00:59:35Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335616:occurrence-detection,2015-12-13T01:00:11Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335617:occurrence-detection,2015-12-13T01:00:45Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335618:occurrence-detection,2015-12-13T01:01:14Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335619:occurrence-detection,2015-12-13T01:01:37Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335621:occurrence-detection,2015-12-13T01:02:00Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335623:occurrence-detection,2015-12-13T01:02:54Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335624:occurrence-detection,2015-12-13T01:03:30Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335626:occurrence-detection,2015-12-13T01:04:05Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335627:occurrence-detection,2015-12-13T01:04:37Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335628:occurrence-detection,2015-12-13T01:05:04Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335629:occurrence-detection,2015-12-13T01:05:38Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335631:occurrence-detection,2015-12-13T01:06:08Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335632:occurrence-detection,2015-12-13T01:06:31Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335634:occurrence-detection,2015-12-13T01:06:55Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335635:occurrence-detection,2015-12-13T01:07:21Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335636:occurrence-detection,2015-12-13T01:07:53Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335637:occurrence-detection,2015-12-13T01:08:50Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335638:occurrence-detection,2015-12-13T01:09:15Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335640:occurrence-detection,2015-12-13T01:09:43Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335641:occurrence-detection,2015-12-13T01:10:18Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335642:occurrence-detection,2015-12-13T01:10:50Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335643:occurrence-detection,2015-12-13T01:11:51Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335646:occurrence-detection,2015-12-13T01:12:20Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335647:occurrence-detection,2015-12-13T01:12:42Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335648:occurrence-detection,2015-12-13T01:13:04Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335649:occurrence-detection,2015-12-13T01:13:26Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335650:occurrence-detection,2015-12-13T01:13:49Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335651:occurrence-detection,2015-12-13T01:14:13Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335653:occurrence-detection,2015-12-13T01:14:41Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335654:occurrence-detection,2015-12-13T01:15:15Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335655:occurrence-detection,2015-12-13T01:15:47Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335656:occurrence-detection,2015-12-13T01:16:12Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335658:occurrence-detection,2015-12-13T01:17:04Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335659:occurrence-detection,2015-12-13T01:17:26Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335661:occurrence-detection,2015-12-13T01:17:48Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335662:occurrence-detection,2015-12-13T01:18:37Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335663:occurrence-detection,2015-12-13T01:19:07Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335664:occurrence-detection,2015-12-13T01:19:52Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335666:occurrence-detection,2015-12-13T01:20:18Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335667:occurrence-detection,2015-12-13T01:20:47Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335670:occurrence-detection,2015-12-13T01:21:59Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335672:occurrence-detection,2015-12-13T01:22:34Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335673:occurrence-detection,2015-12-13T01:23:05Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335674:occurrence-detection,2015-12-13T01:23:30Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335676:occurrence-detection,2015-12-13T01:25:37Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335677:occurrence-detection,2015-12-13T01:26:01Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335678:occurrence-detection,2015-12-13T01:26:26Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335681:occurrence-detection,2015-12-13T01:29:28Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335686:occurrence-detection,2015-12-13T01:34:31Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335692:occurrence-detection,2015-12-13T01:42:20Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335695:occurrence-detection,2015-12-13T01:45:29Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335696:occurrence-detection,2015-12-13T01:46:01Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335697:occurrence-detection,2015-12-13T01:46:27Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335698:occurrence-detection,2015-12-13T01:46:58Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335699:occurrence-detection,2015-12-13T01:47:22Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335701:occurrence-detection,2015-12-13T01:47:50Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335703:occurrence-detection,2015-12-13T01:49:28Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335707:occurrence-detection,2015-12-13T01:51:00Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335708:occurrence-detection,2015-12-13T01:51:32Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335710:occurrence-detection,2015-12-13T01:51:58Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335711:occurrence-detection,2015-12-13T01:52:52Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335713:occurrence-detection,2015-12-13T01:53:17Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335714:occurrence-detection,2015-12-13T01:53:47Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335716:occurrence-detection,2015-12-13T01:54:10Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335717:occurrence-detection,2015-12-13T01:54:33Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335718:occurrence-detection,2015-12-13T01:54:59Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335719:occurrence-detection,2015-12-13T01:55:50Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335720:occurrence-detection,2015-12-13T01:56:13Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335721:occurrence-detection,2015-12-13T01:57:05Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335723:occurrence-detection,2015-12-13T01:57:38Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335725:occurrence-detection,2015-12-13T01:58:41Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335726:occurrence-detection,2015-12-13T01:59:14Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335729:occurrence-detection,2015-12-13T01:59:44Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335730:occurrence-detection,2015-12-13T02:00:28Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335731:occurrence-detection,2015-12-13T02:00:51Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335732:occurrence-detection,2015-12-13T02:01:16Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335733:occurrence-detection,2015-12-13T02:01:44Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335734:occurrence-detection,2015-12-13T02:02:19Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335736:occurrence-detection,2015-12-13T02:03:21Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335738:occurrence-detection,2015-12-13T02:03:57Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335739:occurrence-detection,2015-12-13T02:04:32Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335740:occurrence-detection,2015-12-13T02:05:05Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335741:occurrence-detection,2015-12-13T02:05:35Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335742:occurrence-detection,2015-12-13T02:06:48Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335744:occurrence-detection,2015-12-13T02:08:00Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335745:occurrence-detection,2015-12-13T02:08:33Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335747:occurrence-detection,2015-12-13T02:09:46Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335748:occurrence-detection,2015-12-13T02:10:08Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335750:occurrence-detection,2015-12-13T02:10:29Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335751:occurrence-detection,2015-12-13T02:10:52Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335752:occurrence-detection,2015-12-13T02:11:16Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335753:occurrence-detection,2015-12-13T02:11:42Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335754:occurrence-detection,2015-12-13T02:12:13Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335755:occurrence-detection,2015-12-13T02:13:35Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335756:occurrence-detection,2015-12-13T02:14:03Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335757:occurrence-detection,2015-12-13T02:14:36Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335758:occurrence-detection,2015-12-13T02:15:04Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335761:occurrence-detection,2015-12-13T02:15:40Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335762:occurrence-detection,2015-12-13T02:16:15Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335764:occurrence-detection,2015-12-13T02:17:49Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335765:occurrence-detection,2015-12-13T02:18:41Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335767:occurrence-detection,2015-12-13T02:19:31Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335769:occurrence-detection,2015-12-13T02:20:54Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335770:occurrence-detection,2015-12-13T02:21:28Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335772:occurrence-detection,2015-12-13T02:21:58Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335773:occurrence-detection,2015-12-13T02:23:45Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335774:occurrence-detection,2015-12-13T02:24:14Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335776:occurrence-detection,2015-12-13T02:24:51Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335777:occurrence-detection,2015-12-13T02:25:27Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335778:occurrence-detection,2015-12-13T02:26:03Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335779:occurrence-detection,2015-12-13T02:26:37Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335781:occurrence-detection,2015-12-13T02:27:08Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335782:occurrence-detection,2015-12-13T02:27:34Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335783:occurrence-detection,2015-12-13T02:28:26Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335786:occurrence-detection,2015-12-13T02:28:50Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335787:occurrence-detection,2015-12-13T02:29:16Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335788:occurrence-detection,2015-12-13T02:29:48Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335790:occurrence-detection,2015-12-13T02:31:05Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335792:occurrence-detection,2015-12-13T02:31:28Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335793:occurrence-detection,2015-12-13T02:31:52Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335795:occurrence-detection,2015-12-13T02:32:19Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335797:occurrence-detection,2015-12-13T02:32:52Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335798:occurrence-detection,2015-12-13T02:33:20Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335800:occurrence-detection,2015-12-13T02:33:54Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335801:occurrence-detection,2015-12-13T02:34:26Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335802:occurrence-detection,2015-12-13T02:34:53Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335803:occurrence-detection,2015-12-13T02:35:24Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335804:occurrence-detection,2015-12-13T02:35:50Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335805:occurrence-detection,2015-12-13T02:36:44Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335807:occurrence-detection,2015-12-13T02:37:41Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335808:occurrence-detection,2015-12-13T02:38:05Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335809:occurrence-detection,2015-12-13T02:38:33Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335811:occurrence-detection,2015-12-13T02:39:36Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335813:occurrence-detection,2015-12-13T02:40:21Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335814:occurrence-detection,2015-12-13T02:40:45Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335815:occurrence-detection,2015-12-13T02:41:45Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335816:occurrence-detection,2015-12-13T02:42:14Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335819:occurrence-detection,2015-12-13T02:42:50Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335821:occurrence-detection,2015-12-13T02:43:54Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335822:occurrence-detection,2015-12-13T02:45:16Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335823:occurrence-detection,2015-12-13T02:46:10Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335824:occurrence-detection,2015-12-13T02:46:32Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335825:occurrence-detection,2015-12-13T02:47:15Z,Anguilla anguilla,Animalia
etn:albert:3020:event-receiver-deployment,etn:2013_albertkanaal:728:51335826:occurrence-detection,2015-12-13T02:47:36Z,Anguilla anguilla,Animalia
