pk,receiver_id,application_type,network_project_code,station_name,station_description,station_manager,deploy_date_time,deploy_latitude,deploy_longitude,intended_latitude,intended_longitude,mooring_type,bottom_depth,riser_length,deploy_depth,battery_installation_date,battery_estimated_end_date,activation_date_time,recover_date_time,recover_latitude,recover_longitude,download_date_time,download_file_name,valid_data_until_date_time,sync_date_time,time_drift,ar_battery_installation_date,ar_confirm,transmit_profile,transmit_power_output,log_temperature_stats_period,log_temperature_sample_period,log_tilt_sample_period,log_noise_stats_period,log_noise_sample_period,log_depth_stats_period,log_depth_sample_period,comments,receiver_status
1356,VR2-5773,acoustic_telemetry,bovenschelde,AspOud,Bovenschelde - Halverwege Asper/Oudenaarde,,2011-01-01T00:00:00Z,50.8804248686,3.6329778413,,,,,,,,,,2012-02-06T00:00:00Z,,,2012-02-06T00:00:00Z,VR2_5773_20120206_1.csv,,,,,,,,,,,,,,,", has_weight:, is_moored:, deploy_number:1",Returned to manufacturer
2385,VR2-5773,acoustic_telemetry,bovenschelde,AspOud,Bovenschelde - Halverwege Asper/Oudenaarde,,2012-02-06T00:00:00Z,50.8804248686,3.6329778413,,,,,,,,,,2012-03-01T00:00:00Z,,,2012-03-01T00:00:00Z,VR2_5773_20120301_1.csv,,,,,,,,,,,,,,,,Returned to manufacturer
2386,VR2-5773,acoustic_telemetry,bovenschelde,AspOud,Bovenschelde - Halverwege Asper/Oudenaarde,,2012-03-01T00:00:00Z,50.8804248686,3.6329778413,,,,,,,,,,2012-09-03T00:00:00Z,,,2012-09-03T00:00:00Z,VR2_5773_20120903_1.csv,,,,,,,,,,,,,,,,Returned to manufacturer
1355,VR2-4231,acoustic_telemetry,bovenschelde,Bovenschelde - stroomop complex Kerkhove,Bovenschelde - Stroomop Complex Kerkhove,,2011-01-01T00:00:00Z,50.78851,3.491906,,,,,,,,,,2012-06-29T00:00:00Z,,,,2012-06-29 01:00,,,,,,,,,,,,,,,", has_weight:, is_moored:, deploy_number:1 Niet alle data is even correct ingevuld. GPS coordinaten en plaatsingsdatum zijn bij benadering ingevuld bij gebrek aan correcte data",Returned to manufacturer
2400,VR2W-112295,acoustic_telemetry,bovenschelde,Dend,Zeeschelde - Dendermonde - Ponton Brandweer,,2011-01-01T00:00:00Z,51.0346570959,4.1060977142,,,,,,,,,,2012-02-03T00:00:00Z,,,2012-02-03T00:00:00Z,VR2W_112295_20120203_1.csv,,,,,,,,,,,,,,,,Active
2401,VR2W-112295,acoustic_telemetry,bovenschelde,Dend,Zeeschelde - Dendermonde - Ponton Brandweer,,2012-02-03T00:00:00Z,51.0346570959,4.1060977142,,,,,,,,,,2012-02-28T00:00:00Z,,,2012-02-28T00:00:00Z,VR2W_112295_20120228_1.csv,,,,,,,,,,,,,,,,Active
2402,VR2W-112295,acoustic_telemetry,bovenschelde,Dend,Zeeschelde - Dendermonde - Ponton Brandweer,,2012-02-28T00:00:00Z,51.0346570959,4.1060977142,,,,,,,,,,2012-06-30T00:00:00Z,,,2012-07-03T00:00:00Z,VR2W_112295_20120703_1.csv,,,,,,,,,,,,,,,,Active
2356,VR2W-113526,acoustic_telemetry,bovenschelde,kGenOst,Kanaal Gent-Oostende - Lovendegem,,2011-01-01T00:00:00Z,51.0915002495,3.6145977284,,,,,,,,,,2012-02-29T00:00:00Z,,,2012-02-29T00:00:00Z,VR2W_113526_20120229_1.csv,,,,,,,,,,,,,,,,Active
2357,VR2W-113526,acoustic_telemetry,bovenschelde,kGenOst,Kanaal Gent-Oostende - Lovendegem,,2012-02-29T00:00:00Z,51.0915002495,3.6145977284,,,,,,,,,,2012-06-30T00:00:00Z,,,2012-07-03T00:00:00Z,VR2W_113526_20120703_1.csv,,,,,,,,,,,,,,,,Active
1372,VR2W-115438,acoustic_telemetry,bovenschelde,Maarkebeek - onder eerste knelpunt,Maarkebeek - onder eerste knelpunt,,2011-01-01T00:00:00Z,50.834583,3.591989,,,,,,,,,,2012-06-29T00:00:00Z,,,,2012-06-29 01:00,,,,,,,,,,,,,,,", has_weight:, is_moored:, deploy_number:1 Niet alle data is even correct ingevuld. GPS coordinaten en plaatsingsdatum zijn bij benadering ingevuld bij gebrek aan correcte data",Active
