pk,receiver_id,application_type,telemetry_type,manufacturer,receiver_id_model,receiver_id_serial_number,modem_address,status,battery_estimated_life,owner_organization,financing_project,built_in_tag_id,ar_model_number,ar_serial_number,ar_battery_estimated_life,ar_voltage_at_deploy,ar_interrogate_code,ar_receive_frequency,ar_reply_frequency,ar_ping_rate,ar_enable_code_address,ar_release_code,ar_disable_code,ar_tilt_code,ar_tilt_after_deploy
1033,VR2-4231,acoustic_telemetry,-,VEMCO,VR2,4231,,Returned to manufacturer,,INBO,,,,,,,,,,,,,,,
1312,VR2-4833,acoustic_telemetry,-,VEMCO,VR2,4833,,Returned to manufacturer,,INBO,,,,,,,,,,,,,,,
1313,VR2-5326,acoustic_telemetry,-,VEMCO,VR2,5326,,Returned to manufacturer,,INBO,,,,,,,,,,,,,,,
1102,VR2-5773,acoustic_telemetry,-,VEMCO,VR2,5773,,Returned to manufacturer,,INBO,,,,,,,,,,,,,,,
1094,VR2-5936,acoustic_telemetry,-,VEMCO,VR2,5936,,Returned to manufacturer,,INBO,,,,,,,,,,,,,,,
1170,VR2W-112286,acoustic_telemetry,-,VEMCO,VR2W,112286,,Available,,INBO,,,,,,,,,,,,,,,
1158,VR2W-112289,acoustic_telemetry,-,VEMCO,VR2W,112289,,Broken,,INBO,,,,,,,,,,,,,,,
1243,VR2W-112290,acoustic_telemetry,-,VEMCO,VR2W,112290,,Available,,INBO,,,,,,,,,,,,,,,
1096,VR2W-112291,acoustic_telemetry,-,VEMCO,VR2W,112291,,Lost,,INBO,,,,,,,,,,,,,,,
1182,VR2W-112293,acoustic_telemetry,-,VEMCO,VR2W,112293,,Lost,,INBO,,,,,,,,,,,,,,,
1050,VR2W-112295,acoustic_telemetry,-,VEMCO,VR2W,112295,,Active,,INBO,,,,,,,,,,,,,,,
1221,VR2W-112297,acoustic_telemetry,-,VEMCO,VR2W,112297,,Active,,INBO,,,,,,,,,,,,,,,
1095,VR2W-112298,acoustic_telemetry,-,VEMCO,VR2W,112298,,Lost,,INBO,,,,,,,,,,,,,,,
1025,VR2W-112299,acoustic_telemetry,-,VEMCO,VR2W,112299,,Lost,,INBO,,,,,,,,,,,,,,,
1059,VR2W-113521,acoustic_telemetry,-,VEMCO,VR2W,113521,,Lost,,INBO,,,,,,,,,,,,,,,
1022,VR2W-113522,acoustic_telemetry,-,VEMCO,VR2W,113522,,Available,,INBO,,,,,,,,,,,,,,,
1128,VR2W-113524,acoustic_telemetry,-,VEMCO,VR2W,113524,,Active,,INBO,,,,,,,,,,,,,,,
1206,VR2W-113525,acoustic_telemetry,-,VEMCO,VR2W,113525,,Available,,INBO,,,,,,,,,,,,,,,
1161,VR2W-113526,acoustic_telemetry,-,VEMCO,VR2W,113526,,Active,,INBO,,,,,,,,,,,,,,,
1125,VR2W-113527,acoustic_telemetry,-,VEMCO,VR2W,113527,,Lost,,INBO,,,,,,,,,,,,,,,
1039,VR2W-113528,acoustic_telemetry,-,VEMCO,VR2W,113528,,Broken,,INBO,,,,,,,,,,,,,,,
1244,VR2W-113529,acoustic_telemetry,-,VEMCO,VR2W,113529,,Active,,INBO,,,,,,,,,,,,,,,
1169,VR2W-114535,acoustic_telemetry,-,VEMCO,VR2W,114535,,Lost,,INBO,,,,,,,,,,,,,,,
1162,VR2W-115430,acoustic_telemetry,-,VEMCO,VR2W,115430,,Active,,INBO,,,,,,,,,,,,,,,
1148,VR2W-115431,acoustic_telemetry,-,VEMCO,VR2W,115431,,Active,,INBO,,,,,,,,,,,,,,,
1057,VR2W-115432,acoustic_telemetry,-,VEMCO,VR2W,115432,,Lost,,INBO,,,,,,,,,,,,,,,
1075,VR2W-115433,acoustic_telemetry,-,VEMCO,VR2W,115433,,Lost,,INBO,,,,,,,,,,,,,,,
1129,VR2W-115434,acoustic_telemetry,-,VEMCO,VR2W,115434,,Active,,INBO,,,,,,,,,,,,,,,
1076,VR2W-115435,acoustic_telemetry,-,VEMCO,VR2W,115435,,Active,,INBO,,,,,,,,,,,,,,,
1106,VR2W-115436,acoustic_telemetry,-,VEMCO,VR2W,115436,,Available,,INBO,,,,,,,,,,,,,,,
1030,VR2W-115438,acoustic_telemetry,-,VEMCO,VR2W,115438,,Active,,INBO,,,,,,,,,,,,,,,
1217,VR2W-115444,acoustic_telemetry,-,VEMCO,VR2W,115444,,Active,,INBO,,,,,,,,,,,,,,,
1237,VR2W-115445,acoustic_telemetry,-,VEMCO,VR2W,115445,,Available,,INBO,,,,,,,,,,,,,,,
