pk,tag_id,tag_id_alternative,telemetry_type,manufacturer,model,frequency,type,serial_number,tag_id_protocol,tag_id_code,status,activation_date,battery_estimated_life,battery_estimated_end_date,sensor_type,sensor_slope,sensor_intercept,sensor_range,sensor_transmit_ratio,accelerometer_algorithm,accelerometer_samples_per_second,owner_organization,owner_pi,financing_project,step1_min_delay,step1_max_delay,step1_power,step1_duration,step1_acceleration_duration,step2_min_delay,step2_max_delay,step2_power,step2_duration,step2_acceleration_duration,step3_min_delay,step3_max_delay,step3_power,step3_duration,step3_acceleration_duration,step4_min_delay,step4_max_delay,step4_power,step4_duration,step4_acceleration_duration
132,A69-1303-41645,,Acoustic,VEMCO,V7-4x,069k,animal,1105442,A69-1303,41645,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
98,A69-1303-41135,,Acoustic,VEMCO,V7-4x,069k,animal,1104380,A69-1303,41135,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
99,A69-1303-41136,,Acoustic,VEMCO,V7-4x,069k,animal,1104381,A69-1303,41136,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
100,A69-1303-41137,,Acoustic,VEMCO,V7-4x,069k,animal,1104382,A69-1303,41137,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
101,A69-1303-41138,,Acoustic,VEMCO,V7-4x,069k,animal,1104383,A69-1303,41138,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
102,A69-1303-41139,,Acoustic,VEMCO,V7-4x,069k,animal,1104384,A69-1303,41139,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
103,A69-1303-41140,,Acoustic,VEMCO,V7-4x,069k,animal,1104385,A69-1303,41140,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
104,A69-1303-41141,,Acoustic,VEMCO,V7-4x,069k,animal,1104386,A69-1303,41141,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
105,A69-1303-41142,,Acoustic,VEMCO,V7-4x,069k,animal,1104387,A69-1303,41142,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
106,A69-1303-41143,,Acoustic,VEMCO,V7-4x,069k,animal,1104388,A69-1303,41143,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
107,A69-1303-41249,,Acoustic,VEMCO,V8-4x,069k,animal,1104389,A69-1303,41249,ended,,154,,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
109,A69-1303-41251,,Acoustic,VEMCO,V8-4x,069k,animal,1104391,A69-1303,41251,ended,,154,,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
110,A69-1303-41252,,Acoustic,VEMCO,V8-4x,069k,animal,1104392,A69-1303,41252,ended,,154,,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
