type,modified,language,license,rightsHolder,institutionCode,datasetID,datasetName,basisOfRecord,eventID,samplingProtocol,eventDate,locality,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,occurrenceID,recordedBy,scientificName,kingdom,phylum,vernacularName,taxonRank
event,2019-03-19T15:16:40Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2353:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2353:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T15:14:57Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2348:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2348:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T15:12:03Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2354:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2354:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T15:11:41Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2350:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2350:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T15:16:28Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2352:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2352:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T15:11:10Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2349:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2349:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T15:14:34Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2347:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2347:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T15:14:11Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2345:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2345:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T15:17:16Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2355:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2355:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-14T15:28:35Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2290:event-capture,double fyke nets,2016-11-23T00:00:00Z,sluis Genk,50.936,5.492112,WGS84,30,2013_albertkanaal:2290:occurrence-capture,40,Anguilla anguilla,Animalia,Chordata,European eel,species
event,2019-03-14T15:28:46Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2291:event-capture,double fyke nets,2016-11-23T00:00:00Z,sluis Genk,50.936,5.492112,WGS84,30,2013_albertkanaal:2291:occurrence-capture,40,Anguilla anguilla,Animalia,Chordata,European eel,species
event,2019-03-14T15:29:00Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2292:event-capture,double fyke nets,2016-11-23T00:00:00Z,sluis Genk,50.936,5.492112,WGS84,30,2013_albertkanaal:2292:occurrence-capture,40,Anguilla anguilla,Animalia,Chordata,European eel,species
event,2019-03-14T15:29:13Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2293:event-capture,double fyke nets,2016-11-23T00:00:00Z,sluis Genk,50.936,5.492112,WGS84,30,2013_albertkanaal:2293:occurrence-capture,40,Anguilla anguilla,Animalia,Chordata,European eel,species
event,2019-03-19T15:17:27Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2356:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2356:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T15:17:47Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2357:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2357:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-14T15:29:30Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2294:event-capture,double fyke nets,2016-11-23T00:00:00Z,sluis Genk,50.936,5.492112,WGS84,30,2013_albertkanaal:2294:occurrence-capture,40,Anguilla anguilla,Animalia,Chordata,European eel,species
event,2019-03-14T15:29:45Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2295:event-capture,double fyke nets,2016-11-23T00:00:00Z,sluis Genk,50.936,5.492112,WGS84,30,2013_albertkanaal:2295:occurrence-capture,40,Anguilla anguilla,Animalia,Chordata,European eel,species
event,2019-03-14T15:29:59Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2296:event-capture,double fyke nets,2016-11-23T00:00:00Z,sluis Genk,50.936,5.492112,WGS84,30,2013_albertkanaal:2296:occurrence-capture,40,Anguilla anguilla,Animalia,Chordata,European eel,species
event,2019-03-14T15:30:15Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2297:event-capture,double fyke nets,2016-11-23T00:00:00Z,sluis Genk,50.936,5.492112,WGS84,30,2013_albertkanaal:2297:occurrence-capture,40,Anguilla anguilla,Animalia,Chordata,European eel,species
event,2019-03-14T15:30:27Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2298:event-capture,double fyke nets,2016-11-23T00:00:00Z,sluis Genk,50.936,5.492112,WGS84,30,2013_albertkanaal:2298:occurrence-capture,40,Anguilla anguilla,Animalia,Chordata,European eel,species
event,2019-03-14T15:30:40Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2299:event-capture,double fyke nets,2016-11-23T00:00:00Z,sluis Genk,50.936,5.492112,WGS84,30,2013_albertkanaal:2299:occurrence-capture,40,Anguilla anguilla,Animalia,Chordata,European eel,species
event,2019-03-14T15:30:52Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2300:event-capture,double fyke nets,2016-11-23T00:00:00Z,sluis Genk,50.936,5.492112,WGS84,30,2013_albertkanaal:2300:occurrence-capture,40,Anguilla anguilla,Animalia,Chordata,European eel,species
event,2019-03-14T15:31:11Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2779:event-capture,double fyke nets,2017-11-08T00:00:00Z,sluis Genk,50.936,5.492112,WGS84,30,2013_albertkanaal:2779:occurrence-capture,40,Anguilla anguilla,Animalia,Chordata,European eel,species
event,2019-03-14T15:31:22Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2780:event-capture,double fyke nets,2017-11-08T00:00:00Z,sluis Genk,50.936,5.492112,WGS84,30,2013_albertkanaal:2780:occurrence-capture,40,Anguilla anguilla,Animalia,Chordata,European eel,species
event,2019-03-14T09:48:46Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2781:event-capture,double fyke nets,2017-11-10T00:00:00Z,sluis Genk,50.936,5.492112,WGS84,30,2013_albertkanaal:2781:occurrence-capture,40,Anguilla anguilla,Animalia,Chordata,European eel,species
event,2019-03-14T09:48:52Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2782:event-capture,double fyke nets,2017-11-10T00:00:00Z,sluis Genk,50.936,5.492112,WGS84,30,2013_albertkanaal:2782:occurrence-capture,40,Anguilla anguilla,Animalia,Chordata,European eel,species
event,2019-03-19T15:04:54Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2331:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2331:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T15:04:40Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2332:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2332:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T15:06:18Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2333:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2333:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T15:06:42Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2334:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2334:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T14:55:04Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2343:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2343:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T15:07:26Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2337:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2337:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T15:11:32Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2344:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2344:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
event,2019-03-19T15:07:38Z,en,http://creativecommons.org/publicdomain/zero/1.0/,"","","",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),humanObservation,2013_albertkanaal:2338:event-capture,,2017-03-30T10:00:00Z,kwekerij Erezee,,,WGS84,30,2013_albertkanaal:2338:occurrence-capture,,Salmo salar,Animalia,Chordata,Atlantic salmon,species
