eventid,occurrenceid,scientificname,kingdom,vernacularname,sex,taxonrank
etn:2015_phd_verhelst:2258:event-capture,etn:2015_phd_verhelst:2258:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2264:event-capture,etn:2015_phd_verhelst:2264:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2253:event-capture,etn:2015_phd_verhelst:2253:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2246:event-capture,etn:2015_phd_verhelst:2246:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2232:event-capture,etn:2015_phd_verhelst:2232:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2220:event-capture,etn:2015_phd_verhelst:2220:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2263:event-capture,etn:2015_phd_verhelst:2263:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2256:event-capture,etn:2015_phd_verhelst:2256:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2252:event-capture,etn:2015_phd_verhelst:2252:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2245:event-capture,etn:2015_phd_verhelst:2245:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2231:event-capture,etn:2015_phd_verhelst:2231:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2219:event-capture,etn:2015_phd_verhelst:2219:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2262:event-capture,etn:2015_phd_verhelst:2262:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2261:event-capture,etn:2015_phd_verhelst:2261:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2255:event-capture,etn:2015_phd_verhelst:2255:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2221:event-capture,etn:2015_phd_verhelst:2221:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2233:event-capture,etn:2015_phd_verhelst:2233:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2247:event-capture,etn:2015_phd_verhelst:2247:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:3209:event-capture,etn:2015_phd_verhelst:3209:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2778:event-capture,etn:2015_phd_verhelst:2778:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:3211:event-capture,etn:2015_phd_verhelst:3211:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:3529:event-capture,etn:2015_phd_verhelst:3529:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:3531:event-capture,etn:2015_phd_verhelst:3531:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:3527:event-capture,etn:2015_phd_verhelst:3527:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:3528:event-capture,etn:2015_phd_verhelst:3528:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:3208:event-capture,etn:2015_phd_verhelst:3208:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:3210:event-capture,etn:2015_phd_verhelst:3210:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:3213:event-capture,etn:2015_phd_verhelst:3213:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2433:event-capture,etn:2015_phd_verhelst:2433:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2431:event-capture,etn:2015_phd_verhelst:2431:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2432:event-capture,etn:2015_phd_verhelst:2432:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2430:event-capture,etn:2015_phd_verhelst:2430:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2429:event-capture,etn:2015_phd_verhelst:2429:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2428:event-capture,etn:2015_phd_verhelst:2428:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2427:event-capture,etn:2015_phd_verhelst:2427:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2425:event-capture,etn:2015_phd_verhelst:2425:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2424:event-capture,etn:2015_phd_verhelst:2424:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2423:event-capture,etn:2015_phd_verhelst:2423:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2422:event-capture,etn:2015_phd_verhelst:2422:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2421:event-capture,etn:2015_phd_verhelst:2421:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2420:event-capture,etn:2015_phd_verhelst:2420:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2419:event-capture,etn:2015_phd_verhelst:2419:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2418:event-capture,etn:2015_phd_verhelst:2418:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2417:event-capture,etn:2015_phd_verhelst:2417:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2415:event-capture,etn:2015_phd_verhelst:2415:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2414:event-capture,etn:2015_phd_verhelst:2414:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2413:event-capture,etn:2015_phd_verhelst:2413:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2412:event-capture,etn:2015_phd_verhelst:2412:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2411:event-capture,etn:2015_phd_verhelst:2411:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2410:event-capture,etn:2015_phd_verhelst:2410:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2409:event-capture,etn:2015_phd_verhelst:2409:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2408:event-capture,etn:2015_phd_verhelst:2408:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2416:event-capture,etn:2015_phd_verhelst:2416:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2407:event-capture,etn:2015_phd_verhelst:2407:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2406:event-capture,etn:2015_phd_verhelst:2406:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2777:event-capture,etn:2015_phd_verhelst:2777:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2234:event-capture,etn:2015_phd_verhelst:2234:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2426:event-capture,etn:2015_phd_verhelst:2426:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:3530:event-capture,etn:2015_phd_verhelst:3530:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2228:event-capture,etn:2015_phd_verhelst:2228:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:2160:event-capture,etn:2015_phd_verhelst:2160:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:595:event-capture,etn:2015_phd_verhelst:595:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:622:event-capture,etn:2015_phd_verhelst:622:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:644:event-capture,etn:2015_phd_verhelst:644:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:638:event-capture,etn:2015_phd_verhelst:638:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:639:event-capture,etn:2015_phd_verhelst:639:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:640:event-capture,etn:2015_phd_verhelst:640:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:642:event-capture,etn:2015_phd_verhelst:642:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:643:event-capture,etn:2015_phd_verhelst:643:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:646:event-capture,etn:2015_phd_verhelst:646:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:647:event-capture,etn:2015_phd_verhelst:647:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2015_phd_verhelst:648:event-capture,etn:2015_phd_verhelst:648:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:phd_reubens:684:event-capture,etn:phd_reubens:684:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:687:event-capture,etn:phd_reubens:687:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:682:event-capture,etn:phd_reubens:682:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:690:event-capture,etn:phd_reubens:690:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:694:event-capture,etn:phd_reubens:694:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:695:event-capture,etn:phd_reubens:695:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:681:event-capture,etn:phd_reubens:681:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:683:event-capture,etn:phd_reubens:683:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:689:event-capture,etn:phd_reubens:689:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:688:event-capture,etn:phd_reubens:688:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:698:event-capture,etn:phd_reubens:698:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:666:event-capture,etn:phd_reubens:666:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:667:event-capture,etn:phd_reubens:667:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:664:event-capture,etn:phd_reubens:664:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:669:event-capture,etn:phd_reubens:669:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:665:event-capture,etn:phd_reubens:665:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:693:event-capture,etn:phd_reubens:693:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:663:event-capture,etn:phd_reubens:663:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:691:event-capture,etn:phd_reubens:691:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:692:event-capture,etn:phd_reubens:692:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:696:event-capture,etn:phd_reubens:696:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:697:event-capture,etn:phd_reubens:697:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:686:event-capture,etn:phd_reubens:686:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:701:event-capture,etn:phd_reubens:701:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:702:event-capture,etn:phd_reubens:702:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:680:event-capture,etn:phd_reubens:680:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:679:event-capture,etn:phd_reubens:679:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:675:event-capture,etn:phd_reubens:675:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:672:event-capture,etn:phd_reubens:672:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:671:event-capture,etn:phd_reubens:671:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:674:event-capture,etn:phd_reubens:674:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:670:event-capture,etn:phd_reubens:670:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:668:event-capture,etn:phd_reubens:668:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:703:event-capture,etn:phd_reubens:703:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:678:event-capture,etn:phd_reubens:678:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:676:event-capture,etn:phd_reubens:676:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:673:event-capture,etn:phd_reubens:673:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:699:event-capture,etn:phd_reubens:699:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:700:event-capture,etn:phd_reubens:700:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:685:event-capture,etn:phd_reubens:685:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:phd_reubens:677:event-capture,etn:phd_reubens:677:occurrence-capture,Gadus morhua,Animalia,Atlantic cod,unknown,species
etn:homarus:252:event-surgery,etn:homarus:252:occurrence-capture,Homarus gammarus,Animalia,European lobster,unknown,species
etn:homarus:251:event-surgery,etn:homarus:251:occurrence-capture,Homarus gammarus,Animalia,European lobster,unknown,species
etn:2011_rivierprik:568:event-surgery,etn:2011_rivierprik:568:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:581:event-surgery,etn:2011_rivierprik:581:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:574:event-surgery,etn:2011_rivierprik:574:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:578:event-surgery,etn:2011_rivierprik:578:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:589:event-surgery,etn:2011_rivierprik:589:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:571:event-surgery,etn:2011_rivierprik:571:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:590:event-surgery,etn:2011_rivierprik:590:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:577:event-surgery,etn:2011_rivierprik:577:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:584:event-surgery,etn:2011_rivierprik:584:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:585:event-surgery,etn:2011_rivierprik:585:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:586:event-surgery,etn:2011_rivierprik:586:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:588:event-surgery,etn:2011_rivierprik:588:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:591:event-surgery,etn:2011_rivierprik:591:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:572:event-surgery,etn:2011_rivierprik:572:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:583:event-surgery,etn:2011_rivierprik:583:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:593:event-surgery,etn:2011_rivierprik:593:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:562:event-surgery,etn:2011_rivierprik:562:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:569:event-surgery,etn:2011_rivierprik:569:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:575:event-surgery,etn:2011_rivierprik:575:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:570:event-surgery,etn:2011_rivierprik:570:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:587:event-surgery,etn:2011_rivierprik:587:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:233:event-surgery,etn:2011_rivierprik:233:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,unknown,species
etn:2011_rivierprik:226:event-surgery,etn:2011_rivierprik:226:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:573:event-surgery,etn:2011_rivierprik:573:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:234:event-surgery,etn:2011_rivierprik:234:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:582:event-surgery,etn:2011_rivierprik:582:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:227:event-surgery,etn:2011_rivierprik:227:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:228:event-surgery,etn:2011_rivierprik:228:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:579:event-surgery,etn:2011_rivierprik:579:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:580:event-surgery,etn:2011_rivierprik:580:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:592:event-surgery,etn:2011_rivierprik:592:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:561:event-surgery,etn:2011_rivierprik:561:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:564:event-surgery,etn:2011_rivierprik:564:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:565:event-surgery,etn:2011_rivierprik:565:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:566:event-surgery,etn:2011_rivierprik:566:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:563:event-surgery,etn:2011_rivierprik:563:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:576:event-surgery,etn:2011_rivierprik:576:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:594:event-surgery,etn:2011_rivierprik:594:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:567:event-surgery,etn:2011_rivierprik:567:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2012_leopoldkanaal:410:event-surgery,etn:2012_leopoldkanaal:410:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:417:event-surgery,etn:2012_leopoldkanaal:417:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:411:event-surgery,etn:2012_leopoldkanaal:411:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:423:event-surgery,etn:2012_leopoldkanaal:423:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:429:event-surgery,etn:2012_leopoldkanaal:429:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:438:event-surgery,etn:2012_leopoldkanaal:438:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:444:event-surgery,etn:2012_leopoldkanaal:444:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:448:event-surgery,etn:2012_leopoldkanaal:448:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:451:event-surgery,etn:2012_leopoldkanaal:451:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:456:event-surgery,etn:2012_leopoldkanaal:456:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:457:event-surgery,etn:2012_leopoldkanaal:457:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:230:event-surgery,etn:2012_leopoldkanaal:230:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:231:event-surgery,etn:2012_leopoldkanaal:231:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:232:event-surgery,etn:2012_leopoldkanaal:232:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:445:event-surgery,etn:2012_leopoldkanaal:445:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:390:event-surgery,etn:2012_leopoldkanaal:390:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:391:event-surgery,etn:2012_leopoldkanaal:391:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:393:event-surgery,etn:2012_leopoldkanaal:393:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:394:event-surgery,etn:2012_leopoldkanaal:394:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:395:event-surgery,etn:2012_leopoldkanaal:395:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:398:event-surgery,etn:2012_leopoldkanaal:398:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:400:event-surgery,etn:2012_leopoldkanaal:400:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:401:event-surgery,etn:2012_leopoldkanaal:401:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:402:event-surgery,etn:2012_leopoldkanaal:402:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:404:event-surgery,etn:2012_leopoldkanaal:404:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:405:event-surgery,etn:2012_leopoldkanaal:405:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:406:event-surgery,etn:2012_leopoldkanaal:406:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:407:event-surgery,etn:2012_leopoldkanaal:407:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:408:event-surgery,etn:2012_leopoldkanaal:408:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:409:event-surgery,etn:2012_leopoldkanaal:409:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:412:event-surgery,etn:2012_leopoldkanaal:412:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:486:event-surgery,etn:2012_leopoldkanaal:486:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:458:event-surgery,etn:2012_leopoldkanaal:458:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:413:event-surgery,etn:2012_leopoldkanaal:413:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:414:event-surgery,etn:2012_leopoldkanaal:414:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:415:event-surgery,etn:2012_leopoldkanaal:415:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:416:event-surgery,etn:2012_leopoldkanaal:416:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:418:event-surgery,etn:2012_leopoldkanaal:418:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:419:event-surgery,etn:2012_leopoldkanaal:419:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:420:event-surgery,etn:2012_leopoldkanaal:420:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:421:event-surgery,etn:2012_leopoldkanaal:421:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:422:event-surgery,etn:2012_leopoldkanaal:422:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:424:event-surgery,etn:2012_leopoldkanaal:424:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:425:event-surgery,etn:2012_leopoldkanaal:425:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:426:event-surgery,etn:2012_leopoldkanaal:426:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:427:event-surgery,etn:2012_leopoldkanaal:427:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:428:event-surgery,etn:2012_leopoldkanaal:428:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:430:event-surgery,etn:2012_leopoldkanaal:430:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:431:event-surgery,etn:2012_leopoldkanaal:431:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
