eventid,occurrenceid,scientificname,kingdom,vernacularname,sex,taxonrank
etn:2011_rivierprik:579:event-capture,etn:2011_rivierprik:579:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:580:event-capture,etn:2011_rivierprik:580:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:592:event-capture,etn:2011_rivierprik:592:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:561:event-capture,etn:2011_rivierprik:561:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:564:event-capture,etn:2011_rivierprik:564:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:565:event-capture,etn:2011_rivierprik:565:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:566:event-capture,etn:2011_rivierprik:566:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:563:event-capture,etn:2011_rivierprik:563:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2011_rivierprik:576:event-capture,etn:2011_rivierprik:576:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:594:event-capture,etn:2011_rivierprik:594:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,female,species
etn:2011_rivierprik:567:event-capture,etn:2011_rivierprik:567:occurrence-capture,Lampetra fluviatilis,Animalia,river lamprey,male,species
etn:2012_leopoldkanaal:410:event-capture,etn:2012_leopoldkanaal:410:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:417:event-capture,etn:2012_leopoldkanaal:417:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:411:event-capture,etn:2012_leopoldkanaal:411:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:423:event-capture,etn:2012_leopoldkanaal:423:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:429:event-capture,etn:2012_leopoldkanaal:429:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:438:event-capture,etn:2012_leopoldkanaal:438:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:444:event-capture,etn:2012_leopoldkanaal:444:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:448:event-capture,etn:2012_leopoldkanaal:448:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:451:event-capture,etn:2012_leopoldkanaal:451:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:456:event-capture,etn:2012_leopoldkanaal:456:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:457:event-capture,etn:2012_leopoldkanaal:457:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:230:event-capture,etn:2012_leopoldkanaal:230:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:231:event-capture,etn:2012_leopoldkanaal:231:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:232:event-capture,etn:2012_leopoldkanaal:232:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:445:event-capture,etn:2012_leopoldkanaal:445:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:390:event-capture,etn:2012_leopoldkanaal:390:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:391:event-capture,etn:2012_leopoldkanaal:391:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:393:event-capture,etn:2012_leopoldkanaal:393:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:394:event-capture,etn:2012_leopoldkanaal:394:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:395:event-capture,etn:2012_leopoldkanaal:395:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:398:event-capture,etn:2012_leopoldkanaal:398:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:400:event-capture,etn:2012_leopoldkanaal:400:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:401:event-capture,etn:2012_leopoldkanaal:401:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:402:event-capture,etn:2012_leopoldkanaal:402:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:404:event-capture,etn:2012_leopoldkanaal:404:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:405:event-capture,etn:2012_leopoldkanaal:405:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:406:event-capture,etn:2012_leopoldkanaal:406:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:407:event-capture,etn:2012_leopoldkanaal:407:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:408:event-capture,etn:2012_leopoldkanaal:408:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:409:event-capture,etn:2012_leopoldkanaal:409:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:412:event-capture,etn:2012_leopoldkanaal:412:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:486:event-capture,etn:2012_leopoldkanaal:486:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:458:event-capture,etn:2012_leopoldkanaal:458:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:413:event-capture,etn:2012_leopoldkanaal:413:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:414:event-capture,etn:2012_leopoldkanaal:414:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:415:event-capture,etn:2012_leopoldkanaal:415:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:416:event-capture,etn:2012_leopoldkanaal:416:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:418:event-capture,etn:2012_leopoldkanaal:418:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:419:event-capture,etn:2012_leopoldkanaal:419:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:420:event-capture,etn:2012_leopoldkanaal:420:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:421:event-capture,etn:2012_leopoldkanaal:421:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:422:event-capture,etn:2012_leopoldkanaal:422:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:424:event-capture,etn:2012_leopoldkanaal:424:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
