"eventID","occurrenceID","measurementType","measurementValue","measurementUnit"
"urn:catalog:etn:2013_albertkanaal:2353:event-capture","urn:catalog:etn:2013_albertkanaal:2353:occurrence-capture","fork length","143","mm"
"urn:catalog:etn:2013_albertkanaal:2348:event-capture","urn:catalog:etn:2013_albertkanaal:2348:occurrence-capture","fork length","142","mm"
"urn:catalog:etn:2013_albertkanaal:2354:event-capture","urn:catalog:etn:2013_albertkanaal:2354:occurrence-capture","fork length","145","mm"
"urn:catalog:etn:2013_albertkanaal:2350:event-capture","urn:catalog:etn:2013_albertkanaal:2350:occurrence-capture","fork length","137","mm"
"urn:catalog:etn:2013_albertkanaal:2352:event-capture","urn:catalog:etn:2013_albertkanaal:2352:occurrence-capture","fork length","142","mm"
"urn:catalog:etn:2013_albertkanaal:2349:event-capture","urn:catalog:etn:2013_albertkanaal:2349:occurrence-capture","fork length","140","mm"
"urn:catalog:etn:2013_albertkanaal:2347:event-capture","urn:catalog:etn:2013_albertkanaal:2347:occurrence-capture","fork length","145","mm"
"urn:catalog:etn:2013_albertkanaal:2345:event-capture","urn:catalog:etn:2013_albertkanaal:2345:occurrence-capture","fork length","145","mm"
"urn:catalog:etn:2013_albertkanaal:2355:event-capture","urn:catalog:etn:2013_albertkanaal:2355:occurrence-capture","fork length","141","mm"
"urn:catalog:etn:2013_albertkanaal:2290:event-capture","urn:catalog:etn:2013_albertkanaal:2290:occurrence-capture","total length","963","mm"
"urn:catalog:etn:2013_albertkanaal:2291:event-capture","urn:catalog:etn:2013_albertkanaal:2291:occurrence-capture","total length","735","mm"
"urn:catalog:etn:2013_albertkanaal:2292:event-capture","urn:catalog:etn:2013_albertkanaal:2292:occurrence-capture","total length","849","mm"
"urn:catalog:etn:2013_albertkanaal:2293:event-capture","urn:catalog:etn:2013_albertkanaal:2293:occurrence-capture","total length","874","mm"
"urn:catalog:etn:2013_albertkanaal:2356:event-capture","urn:catalog:etn:2013_albertkanaal:2356:occurrence-capture","fork length","143","mm"
"urn:catalog:etn:2013_albertkanaal:2357:event-capture","urn:catalog:etn:2013_albertkanaal:2357:occurrence-capture","fork length","138","mm"
"urn:catalog:etn:2013_albertkanaal:2294:event-capture","urn:catalog:etn:2013_albertkanaal:2294:occurrence-capture","total length","918","mm"
"urn:catalog:etn:2013_albertkanaal:2295:event-capture","urn:catalog:etn:2013_albertkanaal:2295:occurrence-capture","total length","899","mm"
"urn:catalog:etn:2013_albertkanaal:2296:event-capture","urn:catalog:etn:2013_albertkanaal:2296:occurrence-capture","total length","890","mm"
"urn:catalog:etn:2013_albertkanaal:2297:event-capture","urn:catalog:etn:2013_albertkanaal:2297:occurrence-capture","total length","770","mm"
"urn:catalog:etn:2013_albertkanaal:2298:event-capture","urn:catalog:etn:2013_albertkanaal:2298:occurrence-capture","total length","846","mm"
"urn:catalog:etn:2013_albertkanaal:2299:event-capture","urn:catalog:etn:2013_albertkanaal:2299:occurrence-capture","total length","943","mm"
"urn:catalog:etn:2013_albertkanaal:2300:event-capture","urn:catalog:etn:2013_albertkanaal:2300:occurrence-capture","total length","762","mm"
"urn:catalog:etn:2013_albertkanaal:2779:event-capture","urn:catalog:etn:2013_albertkanaal:2779:occurrence-capture","total length","900","mm"
"urn:catalog:etn:2013_albertkanaal:2780:event-capture","urn:catalog:etn:2013_albertkanaal:2780:occurrence-capture","total length","800","mm"
"urn:catalog:etn:2013_albertkanaal:2781:event-capture","urn:catalog:etn:2013_albertkanaal:2781:occurrence-capture","total length","925","mm"
"urn:catalog:etn:2013_albertkanaal:2782:event-capture","urn:catalog:etn:2013_albertkanaal:2782:occurrence-capture","total length","854","mm"
"urn:catalog:etn:2013_albertkanaal:2331:event-capture","urn:catalog:etn:2013_albertkanaal:2331:occurrence-capture","fork length","135","mm"
"urn:catalog:etn:2013_albertkanaal:2332:event-capture","urn:catalog:etn:2013_albertkanaal:2332:occurrence-capture","fork length","141","mm"
"urn:catalog:etn:2013_albertkanaal:2333:event-capture","urn:catalog:etn:2013_albertkanaal:2333:occurrence-capture","fork length","141","mm"
"urn:catalog:etn:2013_albertkanaal:2334:event-capture","urn:catalog:etn:2013_albertkanaal:2334:occurrence-capture","fork length","137","mm"
"urn:catalog:etn:2013_albertkanaal:2343:event-capture","urn:catalog:etn:2013_albertkanaal:2343:occurrence-capture","fork length","142","mm"
"urn:catalog:etn:2013_albertkanaal:2337:event-capture","urn:catalog:etn:2013_albertkanaal:2337:occurrence-capture","fork length","144","mm"
"urn:catalog:etn:2013_albertkanaal:2344:event-capture","urn:catalog:etn:2013_albertkanaal:2344:occurrence-capture","fork length","151","mm"
"urn:catalog:etn:2013_albertkanaal:2338:event-capture","urn:catalog:etn:2013_albertkanaal:2338:occurrence-capture","fork length","142","mm"
"urn:catalog:etn:2013_albertkanaal:2335:event-capture","urn:catalog:etn:2013_albertkanaal:2335:occurrence-capture","fork length","143","mm"
"urn:catalog:etn:2013_albertkanaal:2336:event-capture","urn:catalog:etn:2013_albertkanaal:2336:occurrence-capture","fork length","141","mm"
"urn:catalog:etn:2013_albertkanaal:2342:event-capture","urn:catalog:etn:2013_albertkanaal:2342:occurrence-capture","fork length","142","mm"
"urn:catalog:etn:2013_albertkanaal:2339:event-capture","urn:catalog:etn:2013_albertkanaal:2339:occurrence-capture","fork length","140","mm"
"urn:catalog:etn:2013_albertkanaal:2341:event-capture","urn:catalog:etn:2013_albertkanaal:2341:occurrence-capture","fork length","142","mm"
"urn:catalog:etn:2013_albertkanaal:2346:event-capture","urn:catalog:etn:2013_albertkanaal:2346:occurrence-capture","fork length","146","mm"
"urn:catalog:etn:2013_albertkanaal:2783:event-capture","urn:catalog:etn:2013_albertkanaal:2783:occurrence-capture","total length","871","mm"
"urn:catalog:etn:2013_albertkanaal:2784:event-capture","urn:catalog:etn:2013_albertkanaal:2784:occurrence-capture","total length","968","mm"
"urn:catalog:etn:2013_albertkanaal:2785:event-capture","urn:catalog:etn:2013_albertkanaal:2785:occurrence-capture","total length","772","mm"
"urn:catalog:etn:2013_albertkanaal:2786:event-capture","urn:catalog:etn:2013_albertkanaal:2786:occurrence-capture","total length","929","mm"
"urn:catalog:etn:2013_albertkanaal:2787:event-capture","urn:catalog:etn:2013_albertkanaal:2787:occurrence-capture","total length","836","mm"
"urn:catalog:etn:2013_albertkanaal:2788:event-capture","urn:catalog:etn:2013_albertkanaal:2788:occurrence-capture","total length","967","mm"
"urn:catalog:etn:phd_reubens:681:event-capture","urn:catalog:etn:phd_reubens:681:occurrence-capture","total length","28","cm"
"urn:catalog:etn:phd_reubens:682:event-capture","urn:catalog:etn:phd_reubens:682:occurrence-capture","total length","38","cm"
"urn:catalog:etn:phd_reubens:683:event-capture","urn:catalog:etn:phd_reubens:683:occurrence-capture","total length","32","cm"
