projectname,projectmember,tag_code_space,person_id,animal_id,scientific_name,common_name,length,length_type,length_units,length2,length2_type,length2_units,weight_units,age,age_units,sex,life_stage,capture_location,capture_depth,utc_release_date_time,comments,est_tag_life,wild_or_hatchery,stock,dna_sample_taken,treatment_type,dissolved_oxygen,sedative,sedative_concentration,temperature_change,holding_temperature,preop_holding_period,post_op_holding_period,surgery_location,date_of_surgery,anaesthetic,buffer,anaesthetic_concentration,buffer_concentration_in_anaesthetic,anesthetic_concentration_in_recirculation,buffer_concentration_in_recirculation,id_pk,catched_date_time,capture_latitude,capture_longitude,release_latitude,release_longitude,surgery_latitude,surgery_longitude,recapture_date,implant_type,implant_method,date_modified,date_created,release_location,length3,length3_type,length3_units,length4,length4_type,length4_units,weight,end_date_tag,capture_method,project_fk,animal_tag_release_id_pk,thelma_converted_code,projectcode,tag_full_id
2013 Albertkanaal,1,A69-1601,,,Salmo salar,,145,fork length,mm,,,,g,,,,,kwekerij Erezee,,2017-04-05T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2345,2017-03-30T10:00:00Z,,,,,,,,,,2019-03-19T15:14:11Z,2017-04-26T09:40:48Z,Genenbos,,,,,,,36.48,2017-06-02T10:00:00Z,,18,1150,,2013_albertkanaal,A69-1601-64501
2013 Albertkanaal,1,A69-1601,,,Salmo salar,,145,fork length,mm,,,,g,,,,,kwekerij Erezee,,2017-04-05T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2347,2017-03-30T10:00:00Z,,,,,,,,,,2019-03-19T15:14:34Z,2017-04-26T09:42:52Z,Genenbos,,,,,,,33.3,2017-06-02T10:00:00Z,,18,1151,,2013_albertkanaal,A69-1601-64502
2013 Albertkanaal,1,A69-1601,,,Salmo salar,,142,fork length,mm,,,,g,,,,,kwekerij Erezee,,2017-04-05T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2348,2017-03-30T10:00:00Z,,,,,,,,,,2019-03-19T15:14:57Z,2017-04-26T09:43:23Z,Ham,,,,,,,31.7,2017-06-02T10:00:00Z,,18,1152,,2013_albertkanaal,A69-1601-64503
2013 Albertkanaal,1,A69-1601,,,Salmo salar,,140,fork length,mm,,,,g,,,,,kwekerij Erezee,,2017-04-10T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2349,2017-03-30T10:00:00Z,,,,,,,,,,2019-03-19T15:11:10Z,2017-04-26T09:43:50Z,Genenbos,,,,,,,30.4,2017-06-02T10:00:00Z,,18,1153,,2013_albertkanaal,A69-1601-64504
2013 Albertkanaal,1,A69-1601,,,Salmo salar,,137,fork length,mm,,,,g,,,,,kwekerij Erezee,,2017-04-10T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2350,2017-03-30T10:00:00Z,,,,,,,,,,2019-03-19T15:11:41Z,2017-04-26T09:44:19Z,Ham,,,,,,,28,2017-06-02T10:00:00Z,,18,1154,,2013_albertkanaal,A69-1601-64505
2013 Albertkanaal,1,A69-1601,,,Salmo salar,,146,fork length,mm,,,,g,,,,,kwekerij Erezee,,2017-04-10T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2351,2017-03-30T10:00:00Z,,,,,,,,,,2019-03-19T15:16:05Z,2017-04-26T09:44:48Z,Ham,,,,,,,34.7,2017-06-02T10:00:00Z,,18,1155,,2013_albertkanaal,A69-1601-64506
2013 Albertkanaal,1,A69-1601,,,Salmo salar,,142,fork length,mm,,,,g,,,,,kwekerij Erezee,,2017-04-05T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2352,2017-03-30T10:00:00Z,,,,,,,,,,2019-03-19T15:16:28Z,2017-04-26T09:45:19Z,Genenbos,,,,,,,30.8,2017-06-02T10:00:00Z,,18,1156,,2013_albertkanaal,A69-1601-64507
2013 Albertkanaal,1,A69-1601,,,Salmo salar,,143,fork length,mm,,,,g,,,,,kwekerij Erezee,,2017-04-05T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2353,2017-03-30T10:00:00Z,,,,,,,,,,2019-03-19T15:16:40Z,2017-04-26T09:45:48Z,Genenbos,,,,,,,32.7,2017-06-02T10:00:00Z,,18,1157,,2013_albertkanaal,A69-1601-64508
2013 Albertkanaal,1,A69-1601,,,Salmo salar,,145,fork length,mm,,,,g,,,,,kwekerij Erezee,,2017-04-18T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2354,2017-03-30T10:00:00Z,,,,,,,,,,2019-03-19T15:12:03Z,2017-04-26T09:46:11Z,Ham,,,,,,,34.2,2017-06-02T10:00:00Z,,18,1158,,2013_albertkanaal,A69-1601-64509
2013 Albertkanaal,1,A69-1601,,,Salmo salar,,141,fork length,mm,,,,g,,,,,kwekerij Erezee,,2017-04-05T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2355,2017-03-30T10:00:00Z,,,,,,,,,,2019-03-19T15:17:16Z,2017-04-26T09:46:43Z,Ham,,,,,,,31.2,2017-06-02T10:00:00Z,,18,1159,,2013_albertkanaal,A69-1601-64510
2013 Albertkanaal,1,A69-1601,,,Salmo salar,,143,fork length,mm,,,,g,,,,,kwekerij Erezee,,2017-04-05T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2356,2017-03-30T10:00:00Z,,,,,,,,,,2019-03-19T15:17:27Z,2017-04-26T09:47:18Z,Ham,,,,,,,32.1,2017-06-02T10:00:00Z,,18,1160,,2013_albertkanaal,A69-1601-64511
2013 Albertkanaal,1,A69-1601,,,Salmo salar,,138,fork length,mm,,,,g,,,,,kwekerij Erezee,,2017-04-05T10:00:00Z,,,hatchery,,,,,,,,,,,,,,,,,,,2357,2017-03-30T10:00:00Z,,,,,,,,,,2019-03-19T15:17:47Z,2017-04-26T09:47:53Z,Genenbos,,,,,,,29.5,2017-06-02T10:00:00Z,,18,1162,,2013_albertkanaal,A69-1601-64512
2013 Albertkanaal,1,A69-1601,,,Salmo salar,,140,fork length,mm,,,,g,,,,,kwekerij Erezee,,2017-03-30T10:00:00Z,"Transmitter escaped fish while it was in the life net. Except for the initial data, detections are thus not related to an animal.",,hatchery,,,,,,,,,,,,,,,,,,,2358,2017-03-30T10:00:00Z,,,,,,,,,,2019-03-19T15:20:32Z,2017-04-26T09:48:24Z,,,,,,,,32.3,2017-03-30T10:00:00Z,,18,1315,,2013_albertkanaal,A69-1601-64513
2013 Albertkanaal,1,A69-1601,40,,Anguilla anguilla,,963,total length,mm,45.9,pectoral fin,mm,g,,,f,FV,sluis Genk,,2016-11-23T00:00:00Z,V9-VPS,,wild,,,,,,,,,,,,,,,,,,,2290,2016-11-23T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,2019-03-14T15:28:35Z,2016-12-07T10:25:25Z,HH5,11.8,horizontal eye diameter,mm,11.15,vertical eye diameter,mm,1623,2017-11-25T00:00:00Z,double fyke nets,18,401,,2013_albertkanaal,A69-1601-47318
