eventID,occurrenceID,measurementType,measurementUnit,measurementValue
,2012_leopoldkanaal:483:occurrence-capture,total length,cm,65.6
,2012_leopoldkanaal:484:occurrence-capture,total length,cm,54.2
,2012_leopoldkanaal:485:occurrence-capture,total length,cm,67.5
,2012_leopoldkanaal:486:occurrence-capture,total length,cm,58.7
,2012_leopoldkanaal:487:occurrence-capture,total length,cm,66.8
,2011_rivierprik:226:occurrence-capture,total length,cm,38.7
,2011_rivierprik:227:occurrence-capture,total length,cm,42
,2011_rivierprik:228:occurrence-capture,total length,cm,38
,2012_leopoldkanaal:229:occurrence-capture,total length,cm,60.3
,2012_leopoldkanaal:230:occurrence-capture,total length,cm,59.6
,2012_leopoldkanaal:231:occurrence-capture,total length,cm,68.1
,2012_leopoldkanaal:232:occurrence-capture,total length,cm,65.8
,2011_rivierprik:233:occurrence-capture,total length,cm,36
,2011_rivierprik:234:occurrence-capture,total length,cm,39.7
,2012_leopoldkanaal:387:occurrence-capture,total length,cm,64.4
,2012_leopoldkanaal:388:occurrence-capture,total length,cm,57.4
,2013_albertkanaal:389:occurrence-capture,total length,cm,89
,2012_leopoldkanaal:390:occurrence-capture,total length,cm,68
,2012_leopoldkanaal:391:occurrence-capture,total length,cm,55.4
,2012_leopoldkanaal:392:occurrence-capture,total length,cm,60.1
,2012_leopoldkanaal:393:occurrence-capture,total length,cm,66
,2012_leopoldkanaal:394:occurrence-capture,total length,cm,77
,2012_leopoldkanaal:395:occurrence-capture,total length,cm,71
,2012_leopoldkanaal:396:occurrence-capture,total length,cm,60.4
,2012_leopoldkanaal:397:occurrence-capture,total length,cm,57.6
,2012_leopoldkanaal:398:occurrence-capture,total length,cm,81.2
,2012_leopoldkanaal:399:occurrence-capture,total length,cm,65.3
,2012_leopoldkanaal:400:occurrence-capture,total length,cm,61.7
,2012_leopoldkanaal:401:occurrence-capture,total length,cm,66.4
,2012_leopoldkanaal:402:occurrence-capture,total length,cm,61.7
,2013_albertkanaal:285:occurrence-capture,total length,cm,24.6
,2012_leopoldkanaal:403:occurrence-capture,total length,cm,73
,2012_leopoldkanaal:404:occurrence-capture,total length,cm,71.5
,2012_leopoldkanaal:405:occurrence-capture,total length,cm,65.4
,2012_leopoldkanaal:406:occurrence-capture,total length,cm,64.4
,2012_leopoldkanaal:407:occurrence-capture,total length,cm,57.2
,2012_leopoldkanaal:408:occurrence-capture,total length,cm,68.3
,2012_leopoldkanaal:409:occurrence-capture,total length,cm,68.9
,2012_leopoldkanaal:410:occurrence-capture,total length,cm,77.9
,2012_leopoldkanaal:411:occurrence-capture,total length,cm,71.3
,2012_leopoldkanaal:412:occurrence-capture,total length,cm,66
,2012_leopoldkanaal:413:occurrence-capture,total length,cm,71.9
,2012_leopoldkanaal:414:occurrence-capture,total length,cm,76.1
,2012_leopoldkanaal:415:occurrence-capture,total length,cm,77
,2012_leopoldkanaal:416:occurrence-capture,total length,cm,69
,2012_leopoldkanaal:417:occurrence-capture,total length,cm,76.3
,2012_leopoldkanaal:418:occurrence-capture,total length,cm,69.2
,2012_leopoldkanaal:419:occurrence-capture,total length,cm,65.7
,2012_leopoldkanaal:420:occurrence-capture,total length,cm,60.2
,2012_leopoldkanaal:421:occurrence-capture,total length,cm,56.3
,2012_leopoldkanaal:422:occurrence-capture,total length,cm,64.8
,2012_leopoldkanaal:423:occurrence-capture,total length,cm,82
,2012_leopoldkanaal:424:occurrence-capture,total length,cm,87.4
,2012_leopoldkanaal:425:occurrence-capture,total length,cm,64.3
,2012_leopoldkanaal:426:occurrence-capture,total length,cm,64
,2012_leopoldkanaal:427:occurrence-capture,total length,cm,74.8
,2012_leopoldkanaal:428:occurrence-capture,total length,cm,65.4
,2012_leopoldkanaal:429:occurrence-capture,total length,cm,73.3
,2012_leopoldkanaal:430:occurrence-capture,total length,cm,65.2
,2012_leopoldkanaal:431:occurrence-capture,total length,cm,73.7
,2012_leopoldkanaal:432:occurrence-capture,total length,cm,70.6
,2012_leopoldkanaal:433:occurrence-capture,total length,cm,72.4
,2012_leopoldkanaal:434:occurrence-capture,total length,cm,62.7
,2012_leopoldkanaal:435:occurrence-capture,total length,cm,78.6
,2012_leopoldkanaal:436:occurrence-capture,total length,cm,67.4
,2012_leopoldkanaal:437:occurrence-capture,total length,cm,75.8
,2013_albertkanaal:374:occurrence-capture,total length,cm,76.2
,2013_albertkanaal:376:occurrence-capture,total length,cm,90.8
,2013_albertkanaal:375:occurrence-capture,total length,cm,77.5
,2013_albertkanaal:377:occurrence-capture,total length,cm,78.9
,2014_demer:382:occurrence-capture,total length,cm,41
,2014_demer:383:occurrence-capture,total length,cm,48.6
,2014_demer:384:occurrence-capture,total length,cm,47.6
,2014_demer:385:occurrence-capture,total length,cm,104
,2014_demer:386:occurrence-capture,total length,cm,51.5
,2013_albertkanaal:284:occurrence-capture,total length,cm,25.1
,2013_albertkanaal:286:occurrence-capture,total length,cm,26
,2013_albertkanaal:287:occurrence-capture,total length,cm,23.1
,2013_albertkanaal:288:occurrence-capture,total length,cm,24.2
,2013_albertkanaal:289:occurrence-capture,total length,cm,18.9
,2013_albertkanaal:290:occurrence-capture,total length,cm,25.6
,2013_albertkanaal:291:occurrence-capture,total length,cm,25.1
,2013_albertkanaal:292:occurrence-capture,total length,cm,24.5
,2013_albertkanaal:293:occurrence-capture,total length,cm,25.4
,2013_albertkanaal:294:occurrence-capture,total length,cm,27.5
,2013_albertkanaal:295:occurrence-capture,total length,cm,18.5
,2013_albertkanaal:296:occurrence-capture,total length,cm,20.8
,2013_albertkanaal:297:occurrence-capture,total length,cm,18.8
,2013_albertkanaal:298:occurrence-capture,total length,cm,20.7
,2013_albertkanaal:299:occurrence-capture,total length,cm,18.9
,2013_albertkanaal:300:occurrence-capture,total length,cm,26.2
,2013_albertkanaal:301:occurrence-capture,total length,cm,26.3
,2013_albertkanaal:302:occurrence-capture,total length,cm,24.4
,2013_albertkanaal:303:occurrence-capture,total length,cm,24.9
,2014_demer:304:occurrence-capture,total length,cm,17.6
,2014_demer:305:occurrence-capture,total length,cm,23.1
,phd_reubens:663:occurrence-capture,total length,cm,38.8
,phd_reubens:664:occurrence-capture,total length,cm,35.2
,phd_reubens:665:occurrence-capture,total length,cm,37
,phd_reubens:666:occurrence-capture,total length,cm,29.2
,phd_reubens:667:occurrence-capture,total length,cm,35
,phd_reubens:668:occurrence-capture,total length,cm,37
,phd_reubens:669:occurrence-capture,total length,cm,31.5
,phd_reubens:670:occurrence-capture,total length,cm,38.5
,2014_demer:306:occurrence-capture,total length,cm,67.5
,2013_albertkanaal:2174:occurrence-capture,fork length,mm,161
,2013_albertkanaal:2175:occurrence-capture,fork length,mm,154
,2013_albertkanaal:2176:occurrence-capture,fork length,mm,170
,2013_albertkanaal:2177:occurrence-capture,fork length,mm,162
,2013_albertkanaal:2178:occurrence-capture,fork length,mm,160
,2013_albertkanaal:2179:occurrence-capture,fork length,mm,167
,2013_albertkanaal:2180:occurrence-capture,fork length,mm,168
,2013_albertkanaal:2181:occurrence-capture,fork length,mm,166
,2013_albertkanaal:2182:occurrence-capture,fork length,mm,164
,2013_albertkanaal:2183:occurrence-capture,fork length,mm,170
,2013_albertkanaal:2184:occurrence-capture,fork length,mm,162
,2013_albertkanaal:2185:occurrence-capture,fork length,mm,156
,2013_albertkanaal:2186:occurrence-capture,fork length,mm,159
,2013_albertkanaal:2187:occurrence-capture,fork length,mm,164
,2013_albertkanaal:2188:occurrence-capture,fork length,mm,166
,2013_albertkanaal:2189:occurrence-capture,fork length,mm,161
,2013_albertkanaal:2190:occurrence-capture,fork length,mm,163
,2013_albertkanaal:2191:occurrence-capture,fork length,mm,163
,2013_albertkanaal:2192:occurrence-capture,fork length,mm,168
,2013_albertkanaal:2193:occurrence-capture,fork length,mm,155
,2013_albertkanaal:2194:occurrence-capture,fork length,mm,168
,2013_albertkanaal:2195:occurrence-capture,fork length,mm,163
,2013_albertkanaal:2196:occurrence-capture,fork length,mm,170
,2013_albertkanaal:2197:occurrence-capture,fork length,mm,163
,2013_albertkanaal:2198:occurrence-capture,fork length,mm,167
,2015_dijle:492:occurrence-capture,total length,cm,26.1
,2015_dijle:493:occurrence-capture,total length,cm,29.8
,2015_dijle:494:occurrence-capture,total length,cm,31.5
,2015_dijle:495:occurrence-capture,total length,cm,28.8
,2015_dijle:496:occurrence-capture,total length,cm,35.1
,2015_dijle:497:occurrence-capture,total length,cm,24.3
,2015_dijle:498:occurrence-capture,total length,cm,33.9
,2015_dijle:499:occurrence-capture,total length,cm,68.2
,2015_dijle:500:occurrence-capture,total length,cm,21.1
,2015_dijle:501:occurrence-capture,total length,cm,101.9
,2015_dijle:502:occurrence-capture,total length,cm,64.8
,2015_dijle:503:occurrence-capture,total length,cm,35.1
,2015_dijle:504:occurrence-capture,total length,cm,33.6
,2015_dijle:505:occurrence-capture,total length,cm,18.8
,2015_dijle:506:occurrence-capture,total length,cm,26.8
,2015_dijle:507:occurrence-capture,total length,cm,30.6
,2015_dijle:508:occurrence-capture,total length,cm,24.5
,2015_dijle:509:occurrence-capture,total length,cm,27.3
,2015_dijle:510:occurrence-capture,total length,cm,24.3
,2015_dijle:511:occurrence-capture,total length,cm,87.5
,2015_dijle:512:occurrence-capture,total length,cm,74.5
,2015_dijle:513:occurrence-capture,total length,cm,54.5
,2015_dijle:514:occurrence-capture,total length,cm,48.6
,2013_albertkanaal:519:occurrence-capture,total length,cm,31.9
,2013_albertkanaal:520:occurrence-capture,total length,cm,31.1
,2013_albertkanaal:521:occurrence-capture,total length,cm,30.1
,2013_albertkanaal:522:occurrence-capture,total length,cm,26.8
,2013_albertkanaal:523:occurrence-capture,total length,cm,32.1
,2013_albertkanaal:524:occurrence-capture,total length,cm,28.4
,2013_albertkanaal:525:occurrence-capture,total length,cm,29.6
,2013_albertkanaal:526:occurrence-capture,total length,cm,29.9
,2013_albertkanaal:527:occurrence-capture,total length,cm,31.9
,2013_albertkanaal:528:occurrence-capture,total length,cm,31.1
,2013_albertkanaal:529:occurrence-capture,total length,cm,31.2
,2013_albertkanaal:530:occurrence-capture,total length,cm,27
,2013_albertkanaal:531:occurrence-capture,total length,cm,31.4
,2013_albertkanaal:532:occurrence-capture,total length,cm,28.7
,2013_albertkanaal:533:occurrence-capture,total length,cm,31.5
,2013_albertkanaal:534:occurrence-capture,total length,cm,30.7
,2013_albertkanaal:535:occurrence-capture,total length,cm,30.6
,2013_albertkanaal:536:occurrence-capture,total length,cm,30.6
,2013_albertkanaal:537:occurrence-capture,total length,cm,30.4
,2013_albertkanaal:538:occurrence-capture,total length,cm,27.7
,2013_albertkanaal:539:occurrence-capture,total length,cm,26.4
,2013_albertkanaal:540:occurrence-capture,total length,cm,30.7
,2013_albertkanaal:541:occurrence-capture,total length,cm,29
,2013_albertkanaal:542:occurrence-capture,total length,cm,32.7
,2013_albertkanaal:543:occurrence-capture,total length,cm,30.4
,2013_albertkanaal:544:occurrence-capture,total length,cm,27.6
,2013_albertkanaal:545:occurrence-capture,total length,cm,27.1
,2013_albertkanaal:546:occurrence-capture,total length,cm,30.7
,2013_albertkanaal:547:occurrence-capture,total length,cm,31.6
,2013_albertkanaal:548:occurrence-capture,total length,cm,27.3
,2013_albertkanaal:549:occurrence-capture,total length,cm,30
,2013_albertkanaal:550:occurrence-capture,total length,cm,29.9
,2013_albertkanaal:551:occurrence-capture,total length,cm,30.2
,2013_albertkanaal:552:occurrence-capture,total length,cm,28.3
,2013_albertkanaal:553:occurrence-capture,total length,cm,33.1
,2013_albertkanaal:554:occurrence-capture,total length,cm,31.5
,2013_albertkanaal:555:occurrence-capture,total length,cm,31.5
,2013_albertkanaal:556:occurrence-capture,total length,cm,33
,2013_albertkanaal:2199:occurrence-capture,fork length,mm,170
,2013_albertkanaal:2200:occurrence-capture,fork length,mm,173
,2013_albertkanaal:2201:occurrence-capture,fork length,mm,161
,2013_albertkanaal:2202:occurrence-capture,fork length,mm,164
,2013_albertkanaal:2203:occurrence-capture,fork length,mm,165
,2013_albertkanaal:2204:occurrence-capture,fork length,mm,158
,2013_albertkanaal:2206:occurrence-capture,fork length,mm,167
,2013_albertkanaal:2207:occurrence-capture,fork length,mm,173
,2013_albertkanaal:2208:occurrence-capture,fork length,mm,160
,2013_albertkanaal:2209:occurrence-capture,fork length,mm,156
,2013_albertkanaal:2210:occurrence-capture,fork length,mm,159
,2013_albertkanaal:2211:occurrence-capture,fork length,mm,155
,2013_albertkanaal:2212:occurrence-capture,fork length,mm,176
,2013_albertkanaal:2213:occurrence-capture,fork length,mm,162
,2013_albertkanaal:2214:occurrence-capture,fork length,mm,153
,2013_albertkanaal:2216:occurrence-capture,fork length,mm,164
,2013_albertkanaal:2215:occurrence-capture,fork length,mm,160
,2013_albertkanaal:2217:occurrence-capture,fork length,mm,162
,2013_albertkanaal:705:occurrence-capture,total length,mm,825
,2013_albertkanaal:706:occurrence-capture,total length,mm,870
,2013_albertkanaal:707:occurrence-capture,total length,mm,770
,2013_albertkanaal:708:occurrence-capture,total length,mm,842
,2013_albertkanaal:709:occurrence-capture,total length,mm,910
,2013_albertkanaal:710:occurrence-capture,total length,mm,900
,2013_albertkanaal:711:occurrence-capture,total length,mm,867
,2013_albertkanaal:712:occurrence-capture,total length,mm,922
,2013_albertkanaal:713:occurrence-capture,total length,mm,736
,2013_albertkanaal:714:occurrence-capture,total length,mm,917
,2013_albertkanaal:715:occurrence-capture,total length,mm,770
,2013_albertkanaal:716:occurrence-capture,total length,mm,850
,2013_albertkanaal:717:occurrence-capture,total length,mm,720
,2013_albertkanaal:718:occurrence-capture,total length,mm,777
,2013_albertkanaal:719:occurrence-capture,total length,mm,846
,2013_albertkanaal:2312:occurrence-capture,total length,mm,818
,2013_albertkanaal:2313:occurrence-capture,total length,mm,915
,2013_albertkanaal:2314:occurrence-capture,total length,mm,830
,2013_albertkanaal:721:occurrence-capture,total length,mm,890
,2013_albertkanaal:723:occurrence-capture,total length,mm,945
,2013_albertkanaal:722:occurrence-capture,total length,mm,797
,2013_albertkanaal:724:occurrence-capture,total length,mm,820
,2013_albertkanaal:725:occurrence-capture,total length,mm,850
,2013_albertkanaal:726:occurrence-capture,total length,mm,862
,2013_albertkanaal:727:occurrence-capture,total length,mm,906
,2013_albertkanaal:728:occurrence-capture,total length,mm,832
,2013_albertkanaal:729:occurrence-capture,total length,mm,852
,2013_albertkanaal:2315:occurrence-capture,total length,mm,857
,2013_albertkanaal:2316:occurrence-capture,total length,mm,799
,2013_albertkanaal:2317:occurrence-capture,total length,mm,787
,2013_albertkanaal:2318:occurrence-capture,total length,mm,762
,2013_albertkanaal:2319:occurrence-capture,total length,mm,853
,2013_albertkanaal:2320:occurrence-capture,total length,mm,897
,2013_albertkanaal:2321:occurrence-capture,total length,mm,760
,2013_albertkanaal:2322:occurrence-capture,total length,mm,1010
,2013_albertkanaal:2323:occurrence-capture,total length,mm,745
,2013_albertkanaal:2324:occurrence-capture,total length,mm,926
,2013_albertkanaal:2325:occurrence-capture,total length,mm,891
,2011_rivierprik:571:occurrence-capture,total length,cm,40.6
,2013_albertkanaal:516:occurrence-capture,total length,cm,32
,2013_albertkanaal:517:occurrence-capture,total length,cm,31.1
,2013_albertkanaal:518:occurrence-capture,total length,cm,28
,phd_reubens:671:occurrence-capture,total length,cm,34.4
,phd_reubens:672:occurrence-capture,total length,cm,32.8
,2015_phd_verhelst:2401:occurrence-capture,total length,cm,64
,2015_phd_verhelst:2411:occurrence-capture,total length,cm,58
,2015_phd_verhelst:2413:occurrence-capture,total length,cm,63
,2015_phd_verhelst:2414:occurrence-capture,total length,cm,61.5
,2015_phd_verhelst:2415:occurrence-capture,total length,cm,64.4
,2015_phd_verhelst:2412:occurrence-capture,total length,cm,72
,2015_phd_verhelst:2416:occurrence-capture,total length,cm,65.3
,2015_phd_verhelst:2417:occurrence-capture,total length,cm,57.5
,2015_phd_verhelst:2419:occurrence-capture,total length,cm,67.5
,2015_phd_verhelst:2418:occurrence-capture,total length,cm,68.7
,2015_phd_verhelst:2424:occurrence-capture,total length,cm,68.6
,2015_phd_verhelst:2423:occurrence-capture,total length,cm,76.5
,2015_phd_verhelst:2422:occurrence-capture,total length,cm,67.1
,2015_phd_verhelst:2421:occurrence-capture,total length,cm,59.6
,2015_phd_verhelst:2420:occurrence-capture,total length,cm,79.4
,2015_phd_verhelst:2425:occurrence-capture,total length,cm,60.4
,2015_phd_verhelst:2426:occurrence-capture,total length,cm,62
,2015_phd_verhelst:2427:occurrence-capture,total length,cm,63.9
,2015_phd_verhelst:2428:occurrence-capture,total length,cm,80.5
,2015_phd_verhelst:2429:occurrence-capture,total length,cm,68.6
,2015_phd_verhelst:2430:occurrence-capture,total length,cm,77.1
,2015_phd_verhelst:2431:occurrence-capture,total length,cm,76.5
,2015_phd_verhelst:2432:occurrence-capture,total length,cm,75
,2015_phd_verhelst:2777:occurrence-capture,total length,cm,71.8
,2015_phd_verhelst:2433:occurrence-capture,total length,cm,84
,2015_phd_verhelst:2407:occurrence-capture,total length,cm,86.7
,2015_phd_verhelst:2410:occurrence-capture,total length,cm,73.5
,2015_phd_verhelst:2778:occurrence-capture,total length,cm,68.8
,2015_phd_verhelst:2408:occurrence-capture,total length,cm,68.2
,2015_phd_verhelst:2409:occurrence-capture,total length,cm,64
,2015_phd_verhelst:2403:occurrence-capture,total length,cm,74.6
,2015_phd_verhelst:2404:occurrence-capture,total length,cm,82
,2015_phd_verhelst:2405:occurrence-capture,total length,cm,71.7
,2015_phd_verhelst:2406:occurrence-capture,total length,cm,63.1
,2015_phd_verhelst:2402:occurrence-capture,total length,cm,70.7
,2013_albertkanaal:317:occurrence-capture,total length,cm,84.8
,2013_albertkanaal:318:occurrence-capture,total length,cm,90.3
,2013_albertkanaal:320:occurrence-capture,total length,cm,79.3
,2013_albertkanaal:321:occurrence-capture,total length,cm,73.8
,2013_albertkanaal:322:occurrence-capture,total length,cm,89.2
