eventID,occurrenceID,measurementType,measurementUnit,measurementValue
,2013_albertkanaal:2345:occurrence-capture,fork length,mm,145
,2013_albertkanaal:2347:occurrence-capture,fork length,mm,145
,2013_albertkanaal:2348:occurrence-capture,fork length,mm,142
,2013_albertkanaal:2349:occurrence-capture,fork length,mm,140
,2013_albertkanaal:2350:occurrence-capture,fork length,mm,137
,2013_albertkanaal:2351:occurrence-capture,fork length,mm,146
,2013_albertkanaal:2352:occurrence-capture,fork length,mm,142
,2013_albertkanaal:2353:occurrence-capture,fork length,mm,143
,2013_albertkanaal:2354:occurrence-capture,fork length,mm,145
,2013_albertkanaal:2355:occurrence-capture,fork length,mm,141
,2013_albertkanaal:2356:occurrence-capture,fork length,mm,143
,2013_albertkanaal:2357:occurrence-capture,fork length,mm,138
,2013_albertkanaal:2358:occurrence-capture,fork length,mm,140
,2013_albertkanaal:2290:occurrence-capture,total length,mm,963
,2013_albertkanaal:2291:occurrence-capture,total length,mm,735
,2013_albertkanaal:2292:occurrence-capture,total length,mm,849
,2013_albertkanaal:2293:occurrence-capture,total length,mm,874
,2013_albertkanaal:2294:occurrence-capture,total length,mm,918
,2013_albertkanaal:2295:occurrence-capture,total length,mm,899
,2013_albertkanaal:2296:occurrence-capture,total length,mm,890
,2013_albertkanaal:2297:occurrence-capture,total length,mm,770
,2013_albertkanaal:2298:occurrence-capture,total length,mm,846
,2013_albertkanaal:2299:occurrence-capture,total length,mm,943
,2013_albertkanaal:2300:occurrence-capture,total length,mm,762
,2013_albertkanaal:2330:occurrence-capture,fork length,mm,150
,2013_albertkanaal:2331:occurrence-capture,fork length,mm,135
,2013_albertkanaal:2332:occurrence-capture,fork length,mm,141
,2013_albertkanaal:2333:occurrence-capture,fork length,mm,141
,2013_albertkanaal:2334:occurrence-capture,fork length,mm,137
,2013_albertkanaal:2335:occurrence-capture,fork length,mm,143
,2013_albertkanaal:2336:occurrence-capture,fork length,mm,141
,2013_albertkanaal:2337:occurrence-capture,fork length,mm,144
,2013_albertkanaal:2338:occurrence-capture,fork length,mm,142
,2013_albertkanaal:2339:occurrence-capture,fork length,mm,140
,2013_albertkanaal:2340:occurrence-capture,fork length,mm,145
,2013_albertkanaal:2341:occurrence-capture,fork length,mm,142
,2013_albertkanaal:2342:occurrence-capture,fork length,mm,142
,2013_albertkanaal:2343:occurrence-capture,fork length,mm,142
,2013_albertkanaal:2344:occurrence-capture,fork length,mm,151
,2013_albertkanaal:2346:occurrence-capture,fork length,mm,146
,2013_albertkanaal:2779:occurrence-capture,total length,mm,900
,2013_albertkanaal:2780:occurrence-capture,total length,mm,800
,2013_albertkanaal:2781:occurrence-capture,total length,mm,925
,2013_albertkanaal:2782:occurrence-capture,total length,mm,854
,2013_albertkanaal:2783:occurrence-capture,total length,mm,871
,2013_albertkanaal:2784:occurrence-capture,total length,mm,968
,2013_albertkanaal:2785:occurrence-capture,total length,mm,772
,2013_albertkanaal:2786:occurrence-capture,total length,mm,929
,2013_albertkanaal:2787:occurrence-capture,total length,mm,836
,2013_albertkanaal:2788:occurrence-capture,total length,mm,967
,phd_reubens:681:occurrence-capture,total length,cm,28
,phd_reubens:682:occurrence-capture,total length,cm,38
,phd_reubens:683:occurrence-capture,total length,cm,32
,phd_reubens:684:occurrence-capture,total length,cm,37
,phd_reubens:685:occurrence-capture,total length,cm,27.5
,phd_reubens:686:occurrence-capture,total length,cm,38
,phd_reubens:687:occurrence-capture,total length,cm,34
,phd_reubens:688:occurrence-capture,total length,cm,36
,phd_reubens:689:occurrence-capture,total length,cm,33
,phd_reubens:690:occurrence-capture,total length,cm,32
,phd_reubens:691:occurrence-capture,total length,cm,34
,phd_reubens:692:occurrence-capture,total length,cm,34
,phd_reubens:693:occurrence-capture,total length,cm,30
,phd_reubens:694:occurrence-capture,total length,cm,30.5
,phd_reubens:695:occurrence-capture,total length,cm,30
,phd_reubens:696:occurrence-capture,total length,cm,37
,phd_reubens:697:occurrence-capture,total length,cm,37.5
,phd_reubens:698:occurrence-capture,total length,cm,38
,phd_reubens:699:occurrence-capture,total length,cm,39
,2011_rivierprik:593:occurrence-capture,total length,cm,40.2
,phd_reubens:700:occurrence-capture,total length,cm,41
,phd_reubens:701:occurrence-capture,total length,cm,37
,phd_reubens:702:occurrence-capture,total length,cm,38
,phd_reubens:703:occurrence-capture,total length,cm,31.5
,phd_reubens:673:occurrence-capture,total length,cm,34.6
,phd_reubens:675:occurrence-capture,total length,cm,32.8
,phd_reubens:676:occurrence-capture,total length,cm,31.4
,phd_reubens:678:occurrence-capture,total length,cm,40
,phd_reubens:677:occurrence-capture,total length,cm,37.5
,phd_reubens:679:occurrence-capture,total length,cm,38
,phd_reubens:680:occurrence-capture,total length,cm,31.5
,2013_albertkanaal:720:occurrence-capture,total length,mm,736
,2011_rivierprik:561:occurrence-capture,total length,cm,39
,2011_rivierprik:562:occurrence-capture,total length,cm,37.9
,2011_rivierprik:563:occurrence-capture,total length,cm,39.2
,2011_rivierprik:564:occurrence-capture,total length,cm,37.8
,2011_rivierprik:565:occurrence-capture,total length,cm,38.4
,2011_rivierprik:566:occurrence-capture,total length,cm,39.8
,2011_rivierprik:567:occurrence-capture,total length,cm,39.3
,2011_rivierprik:568:occurrence-capture,total length,cm,37.3
,2011_rivierprik:569:occurrence-capture,total length,cm,37.5
,2011_rivierprik:570:occurrence-capture,total length,cm,41
,2013_albertkanaal:704:occurrence-capture,total length,mm,820
,2011_rivierprik:572:occurrence-capture,total length,cm,39.5
,2011_rivierprik:573:occurrence-capture,total length,cm,41.3
,2011_rivierprik:574:occurrence-capture,total length,cm,40
,2011_rivierprik:575:occurrence-capture,total length,cm,41.2
,2011_rivierprik:576:occurrence-capture,total length,cm,38.9
,2011_rivierprik:577:occurrence-capture,total length,cm,40
,2011_rivierprik:578:occurrence-capture,total length,cm,37.5
,2011_rivierprik:579:occurrence-capture,total length,cm,37.1
,2011_rivierprik:580:occurrence-capture,total length,cm,37.1
,2011_rivierprik:581:occurrence-capture,total length,cm,35.6
,2011_rivierprik:582:occurrence-capture,total length,cm,36.9
,2011_rivierprik:583:occurrence-capture,total length,cm,39.6
,2011_rivierprik:584:occurrence-capture,total length,cm,39.6
,2011_rivierprik:585:occurrence-capture,total length,cm,38
,2011_rivierprik:586:occurrence-capture,total length,cm,39.4
,2011_rivierprik:587:occurrence-capture,total length,cm,40.8
,2011_rivierprik:588:occurrence-capture,total length,cm,40.3
,2011_rivierprik:589:occurrence-capture,total length,cm,38.1
,2013_albertkanaal:373:occurrence-capture,total length,cm,86.8
,2013_albertkanaal:515:occurrence-capture,total length,cm,29.7
,2011_rivierprik:590:occurrence-capture,total length,cm,36.8
,2011_rivierprik:591:occurrence-capture,total length,cm,39.8
,2011_rivierprik:592:occurrence-capture,total length,cm,37
,2011_rivierprik:594:occurrence-capture,total length,cm,39.4
,2012_leopoldkanaal:438:occurrence-capture,total length,cm,62.4
,2012_leopoldkanaal:439:occurrence-capture,total length,cm,85.3
,2012_leopoldkanaal:440:occurrence-capture,total length,cm,67.3
,2012_leopoldkanaal:441:occurrence-capture,total length,cm,69.8
,2012_leopoldkanaal:442:occurrence-capture,total length,cm,74.8
,2012_leopoldkanaal:443:occurrence-capture,total length,cm,63.4
,2012_leopoldkanaal:444:occurrence-capture,total length,cm,61
,2012_leopoldkanaal:445:occurrence-capture,total length,cm,60.2
,2012_leopoldkanaal:446:occurrence-capture,total length,cm,61.3
,2013_albertkanaal:2205:occurrence-capture,fork length,mm,166
,2012_leopoldkanaal:447:occurrence-capture,total length,cm,59.2
,2012_leopoldkanaal:448:occurrence-capture,total length,cm,59.5
,2012_leopoldkanaal:449:occurrence-capture,total length,cm,59.2
,2012_leopoldkanaal:450:occurrence-capture,total length,cm,75.1
,2012_leopoldkanaal:451:occurrence-capture,total length,cm,63.5
,2012_leopoldkanaal:452:occurrence-capture,total length,cm,71.2
,2012_leopoldkanaal:453:occurrence-capture,total length,cm,63.1
,2012_leopoldkanaal:454:occurrence-capture,total length,cm,55.6
,2012_leopoldkanaal:455:occurrence-capture,total length,cm,66.2
,2012_leopoldkanaal:456:occurrence-capture,total length,cm,61.5
,2012_leopoldkanaal:457:occurrence-capture,total length,cm,61.8
,2012_leopoldkanaal:458:occurrence-capture,total length,cm,61.1
,2012_leopoldkanaal:459:occurrence-capture,total length,cm,58.2
,2012_leopoldkanaal:460:occurrence-capture,total length,cm,51
,2012_leopoldkanaal:461:occurrence-capture,total length,cm,71.2
,2012_leopoldkanaal:462:occurrence-capture,total length,cm,55.5
,2012_leopoldkanaal:463:occurrence-capture,total length,cm,56
,2012_leopoldkanaal:464:occurrence-capture,total length,cm,57.5
,2012_leopoldkanaal:465:occurrence-capture,total length,cm,60.5
,2012_leopoldkanaal:466:occurrence-capture,total length,cm,57.9
,2012_leopoldkanaal:467:occurrence-capture,total length,cm,53.1
,2012_leopoldkanaal:468:occurrence-capture,total length,cm,49.5
,2012_leopoldkanaal:469:occurrence-capture,total length,cm,53.2
,2012_leopoldkanaal:470:occurrence-capture,total length,cm,60.1
,2012_leopoldkanaal:471:occurrence-capture,total length,cm,57.5
,2012_leopoldkanaal:472:occurrence-capture,total length,cm,72.7
,2012_leopoldkanaal:473:occurrence-capture,total length,cm,76.4
,2012_leopoldkanaal:474:occurrence-capture,total length,cm,57.1
,2012_leopoldkanaal:475:occurrence-capture,total length,cm,62.6
,2012_leopoldkanaal:476:occurrence-capture,total length,cm,57.4
,2012_leopoldkanaal:477:occurrence-capture,total length,cm,59.2
,2012_leopoldkanaal:478:occurrence-capture,total length,cm,73
,2012_leopoldkanaal:479:occurrence-capture,total length,cm,53.5
,2012_leopoldkanaal:480:occurrence-capture,total length,cm,58.2
,2012_leopoldkanaal:481:occurrence-capture,total length,cm,61.9
,2012_leopoldkanaal:482:occurrence-capture,total length,cm,71.5
