eventid,measurementtype,measurementvalue,measurementunit
etn:bovenschelde:1355:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1355:event-receiver-deployment,receiver id,VR2-4231,""
etn:bovenschelde:1355:event-receiver-deployment,receiver status,returned to manufacturer,""
etn:bovenschelde:1356:event-receiver-deployment,receiver status,returned to manufacturer,""
etn:bovenschelde:1356:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1356:event-receiver-deployment,receiver id,VR2-5773,""
etn:bovenschelde:1357:event-receiver-deployment,receiver id,VR2-5936,""
etn:bovenschelde:1357:event-receiver-deployment,receiver status,returned to manufacturer,""
etn:bovenschelde:1357:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1358:event-receiver-deployment,receiver id,VR2W-112289,""
etn:bovenschelde:1358:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1358:event-receiver-deployment,receiver status,broken,""
etn:bovenschelde:1359:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1359:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:1359:event-receiver-deployment,receiver id,VR2W-112290,""
etn:bovenschelde:1360:event-receiver-deployment,receiver id,VR2W-112298,""
etn:bovenschelde:1360:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:1360:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1361:event-receiver-deployment,receiver id,VR2W-112299,""
etn:bovenschelde:1361:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1361:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:1362:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1362:event-receiver-deployment,receiver id,VR2W-113521,""
etn:bovenschelde:1362:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:1364:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:1364:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1364:event-receiver-deployment,receiver id,VR2W-113527,""
etn:bovenschelde:1365:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1365:event-receiver-deployment,receiver id,VR2W-113529,""
etn:bovenschelde:1365:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:1366:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:1366:event-receiver-deployment,receiver id,VR2W-114535,""
etn:bovenschelde:1366:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1367:event-receiver-deployment,receiver id,VR2W-115430,""
etn:bovenschelde:1367:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:1367:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1368:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1368:event-receiver-deployment,receiver id,VR2W-115431,""
etn:bovenschelde:1368:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:1369:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1369:event-receiver-deployment,receiver id,VR2W-115433,""
etn:bovenschelde:1369:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:1370:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:1370:event-receiver-deployment,receiver id,VR2W-115434,""
etn:bovenschelde:1370:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1371:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:1371:event-receiver-deployment,receiver id,VR2W-115436,""
etn:bovenschelde:1371:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1372:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:1372:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:1372:event-receiver-deployment,receiver id,VR2W-115438,""
etn:bovenschelde:2297:event-receiver-deployment,receiver id,VR2W-112297,""
etn:bovenschelde:2297:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2297:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2298:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2298:event-receiver-deployment,receiver id,VR2W-112297,""
etn:bovenschelde:2298:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2299:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2299:event-receiver-deployment,receiver id,VR2W-112297,""
etn:bovenschelde:2299:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2301:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2301:event-receiver-deployment,receiver status,broken,""
etn:bovenschelde:2301:event-receiver-deployment,receiver id,VR2W-113528,""
etn:bovenschelde:2302:event-receiver-deployment,receiver status,broken,""
etn:bovenschelde:2302:event-receiver-deployment,receiver id,VR2W-113528,""
etn:bovenschelde:2302:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2304:event-receiver-deployment,receiver id,VR2-4833,""
etn:bovenschelde:2304:event-receiver-deployment,receiver status,returned to manufacturer,""
etn:bovenschelde:2304:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2305:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2305:event-receiver-deployment,receiver status,returned to manufacturer,""
etn:bovenschelde:2305:event-receiver-deployment,receiver id,VR2-4833,""
etn:bovenschelde:2307:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2307:event-receiver-deployment,receiver id,VR2W-113525,""
etn:bovenschelde:2307:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2308:event-receiver-deployment,receiver id,VR2W-113525,""
etn:bovenschelde:2308:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2308:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2310:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2310:event-receiver-deployment,receiver id,VR2W-112290,""
etn:bovenschelde:2310:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2311:event-receiver-deployment,receiver id,VR2W-112290,""
etn:bovenschelde:2311:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2311:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2312:event-receiver-deployment,receiver id,VR2W-112290,""
etn:bovenschelde:2312:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2312:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2313:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2313:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2313:event-receiver-deployment,receiver id,VR2W-112290,""
etn:bovenschelde:2315:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2315:event-receiver-deployment,receiver id,VR2W-112299,""
etn:bovenschelde:2315:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2316:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2316:event-receiver-deployment,receiver id,VR2W-112299,""
etn:bovenschelde:2316:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2317:event-receiver-deployment,receiver id,VR2W-112299,""
etn:bovenschelde:2317:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2317:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2318:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2318:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2318:event-receiver-deployment,receiver id,VR2W-112299,""
etn:bovenschelde:2319:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2319:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2319:event-receiver-deployment,receiver id,VR2W-112299,""
etn:bovenschelde:2321:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2321:event-receiver-deployment,receiver id,VR2W-112289,""
etn:bovenschelde:2321:event-receiver-deployment,receiver status,broken,""
etn:bovenschelde:2322:event-receiver-deployment,receiver status,broken,""
etn:bovenschelde:2322:event-receiver-deployment,receiver id,VR2W-112289,""
etn:bovenschelde:2322:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2323:event-receiver-deployment,receiver status,broken,""
etn:bovenschelde:2323:event-receiver-deployment,receiver id,VR2W-112289,""
etn:bovenschelde:2323:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2324:event-receiver-deployment,receiver id,VR2W-112289,""
etn:bovenschelde:2324:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2324:event-receiver-deployment,receiver status,broken,""
etn:bovenschelde:2325:event-receiver-deployment,receiver status,broken,""
etn:bovenschelde:2325:event-receiver-deployment,receiver id,VR2W-112289,""
etn:bovenschelde:2325:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2327:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2327:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2327:event-receiver-deployment,receiver id,VR2W-112298,""
etn:bovenschelde:2328:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2328:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2328:event-receiver-deployment,receiver id,VR2W-112298,""
etn:bovenschelde:2329:event-receiver-deployment,receiver id,VR2W-112298,""
etn:bovenschelde:2329:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2329:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2330:event-receiver-deployment,receiver id,VR2W-112298,""
etn:bovenschelde:2330:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2330:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2331:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2331:event-receiver-deployment,receiver id,VR2W-112298,""
etn:bovenschelde:2331:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2333:event-receiver-deployment,receiver status,active,""
