eventid,measurementtype,measurementvalue,measurementunit
etn:bovenschelde:2333:event-receiver-deployment,receiver id,VR2W-113529,""
etn:bovenschelde:2333:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2334:event-receiver-deployment,receiver id,VR2W-113529,""
etn:bovenschelde:2334:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2334:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2335:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2335:event-receiver-deployment,receiver id,VR2W-113529,""
etn:bovenschelde:2335:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2337:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2337:event-receiver-deployment,receiver id,VR2W-113521,""
etn:bovenschelde:2337:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2338:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2338:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2338:event-receiver-deployment,receiver id,VR2W-113521,""
etn:bovenschelde:2339:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2339:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2339:event-receiver-deployment,receiver id,VR2W-113521,""
etn:bovenschelde:2341:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2341:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2341:event-receiver-deployment,receiver id,VR2W-113527,""
etn:bovenschelde:2342:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2342:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2342:event-receiver-deployment,receiver id,VR2W-113527,""
etn:bovenschelde:2343:event-receiver-deployment,receiver id,VR2W-113527,""
etn:bovenschelde:2343:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2343:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2344:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2344:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2344:event-receiver-deployment,receiver id,VR2W-113527,""
etn:bovenschelde:2346:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2346:event-receiver-deployment,receiver id,VR2W-113524,""
etn:bovenschelde:2346:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2347:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2347:event-receiver-deployment,receiver id,VR2W-113524,""
etn:bovenschelde:2347:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2348:event-receiver-deployment,receiver id,VR2W-113524,""
etn:bovenschelde:2348:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2348:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2350:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2350:event-receiver-deployment,receiver status,returned to manufacturer,""
etn:bovenschelde:2350:event-receiver-deployment,receiver id,VR2-5936,""
etn:bovenschelde:2351:event-receiver-deployment,receiver id,VR2-5936,""
etn:bovenschelde:2351:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2351:event-receiver-deployment,receiver status,returned to manufacturer,""
etn:bovenschelde:2353:event-receiver-deployment,receiver id,VR2W-113522,""
etn:bovenschelde:2353:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2353:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2354:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2354:event-receiver-deployment,receiver id,VR2W-113522,""
etn:bovenschelde:2354:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2356:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2356:event-receiver-deployment,receiver id,VR2W-113526,""
etn:bovenschelde:2356:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2357:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2357:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2357:event-receiver-deployment,receiver id,VR2W-113526,""
etn:bovenschelde:2359:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2359:event-receiver-deployment,receiver id,VR2W-115436,""
etn:bovenschelde:2359:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2360:event-receiver-deployment,receiver id,VR2W-115436,""
etn:bovenschelde:2360:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2360:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2362:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2362:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2362:event-receiver-deployment,receiver id,VR2W-115434,""
etn:bovenschelde:2363:event-receiver-deployment,receiver id,VR2W-115434,""
etn:bovenschelde:2363:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2363:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2364:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2364:event-receiver-deployment,receiver id,VR2W-115434,""
etn:bovenschelde:2364:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2365:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2365:event-receiver-deployment,receiver id,VR2W-115434,""
etn:bovenschelde:2365:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2369:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2369:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2369:event-receiver-deployment,receiver id,VR2W-115435,""
etn:bovenschelde:2370:event-receiver-deployment,receiver id,VR2W-115435,""
etn:bovenschelde:2370:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2370:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2371:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2371:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2371:event-receiver-deployment,receiver id,VR2W-115435,""
etn:bovenschelde:2373:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2373:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2373:event-receiver-deployment,receiver id,VR2W-115444,""
etn:bovenschelde:2374:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2374:event-receiver-deployment,receiver id,VR2W-115444,""
etn:bovenschelde:2374:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2375:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2375:event-receiver-deployment,receiver id,VR2W-115444,""
etn:bovenschelde:2375:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2376:event-receiver-deployment,receiver id,VR2W-115444,""
etn:bovenschelde:2376:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2376:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2377:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2377:event-receiver-deployment,receiver id,VR2W-115444,""
etn:bovenschelde:2377:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2378:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2378:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2378:event-receiver-deployment,receiver id,VR2W-115444,""
etn:bovenschelde:2380:event-receiver-deployment,receiver id,VR2W-115430,""
etn:bovenschelde:2380:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2380:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2381:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2381:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2381:event-receiver-deployment,receiver id,VR2W-115430,""
etn:bovenschelde:2383:event-receiver-deployment,receiver id,VR2W-115433,""
etn:bovenschelde:2383:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2383:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2384:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2384:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2384:event-receiver-deployment,receiver id,VR2W-115433,""
etn:bovenschelde:2385:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2385:event-receiver-deployment,receiver id,VR2-5773,""
etn:bovenschelde:2385:event-receiver-deployment,receiver status,returned to manufacturer,""
etn:bovenschelde:2386:event-receiver-deployment,receiver status,returned to manufacturer,""
etn:bovenschelde:2386:event-receiver-deployment,receiver id,VR2-5773,""
etn:bovenschelde:2386:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2388:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2388:event-receiver-deployment,receiver status,returned to manufacturer,""
etn:bovenschelde:2388:event-receiver-deployment,receiver id,VR2-5326,""
etn:bovenschelde:2389:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2389:event-receiver-deployment,receiver id,VR2-5326,""
etn:bovenschelde:2389:event-receiver-deployment,receiver status,returned to manufacturer,""
etn:bovenschelde:2390:event-receiver-deployment,receiver id,VR2-5326,""
etn:bovenschelde:2390:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2390:event-receiver-deployment,receiver status,returned to manufacturer,""
etn:bovenschelde:2392:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2392:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2392:event-receiver-deployment,receiver id,VR2W-112286,""
etn:bovenschelde:2393:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2393:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2393:event-receiver-deployment,receiver id,VR2W-112286,""
etn:bovenschelde:2394:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2394:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2394:event-receiver-deployment,receiver id,VR2W-112286,""
etn:bovenschelde:2396:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2396:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2396:event-receiver-deployment,receiver id,VR2W-112291,""
etn:bovenschelde:2397:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2397:event-receiver-deployment,receiver id,VR2W-112291,""
etn:bovenschelde:2397:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2398:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2398:event-receiver-deployment,receiver id,VR2W-112291,""
etn:bovenschelde:2398:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2400:event-receiver-deployment,receiver id,VR2W-112295,""
etn:bovenschelde:2400:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2400:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2401:event-receiver-deployment,receiver id,VR2W-112295,""
etn:bovenschelde:2401:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2401:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2402:event-receiver-deployment,receiver id,VR2W-112295,""
etn:bovenschelde:2402:event-receiver-deployment,receiver status,active,""
etn:bovenschelde:2402:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2405:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2405:event-receiver-deployment,receiver id,VR2W-115445,""
etn:bovenschelde:2405:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2406:event-receiver-deployment,receiver id,VR2W-115445,""
etn:bovenschelde:2406:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2406:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2408:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2408:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2408:event-receiver-deployment,receiver id,VR2W-115432,""
etn:bovenschelde:2409:event-receiver-deployment,receiver id,VR2W-115432,""
etn:bovenschelde:2409:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2409:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2410:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2410:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2410:event-receiver-deployment,receiver id,VR2W-115432,""
etn:bovenschelde:2412:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2412:event-receiver-deployment,receiver id,VR2W-115431,""
etn:bovenschelde:2412:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2413:event-receiver-deployment,receiver id,VR2W-115431,""
etn:bovenschelde:2413:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2413:event-receiver-deployment,receiver status,available,""
etn:bovenschelde:2415:event-receiver-deployment,receiver id,VR2W-112293,""
etn:bovenschelde:2415:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2415:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2416:event-receiver-deployment,receiver id,VR2W-112293,""
etn:bovenschelde:2416:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2416:event-receiver-deployment,receiver status,lost,""
etn:bovenschelde:2417:event-receiver-deployment,receiver id,VR2W-112293,""
etn:bovenschelde:2417:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bovenschelde:2417:event-receiver-deployment,receiver status,lost,""
etn:bpns:1261:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1261:event-receiver-deployment,receiver intended coordinates,"latitude: 51.35633, longitude: 2.51867",""
etn:bpns:1261:event-receiver-deployment,receiver id,VR2W-106251,""
etn:bpns:1261:event-receiver-deployment,receiver status,broken,""
etn:bpns:1265:event-receiver-deployment,receiver status,lost,""
etn:bpns:1265:event-receiver-deployment,receiver intended coordinates,"latitude: 51.46117, longitude: 3.10700",""
etn:bpns:1265:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1265:event-receiver-deployment,receiver id,VR2W-110784,""
etn:bpns:1274:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1274:event-receiver-deployment,receiver id,VR2W-110779,""
etn:bpns:1274:event-receiver-deployment,receiver status,active,""
etn:bpns:1274:event-receiver-deployment,receiver intended coordinates,"latitude: 51.43250, longitude: 2.80200",""
etn:bpns:1330:event-receiver-deployment,receiver id,VR2W-110781,""
etn:bpns:1330:event-receiver-deployment,receiver status,available,""
etn:bpns:1330:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1376:event-receiver-deployment,receiver status,available,""
etn:bpns:1376:event-receiver-deployment,receiver id,VR2C-450114,""
etn:bpns:1376:event-receiver-deployment,receiver intended coordinates,"latitude: 51.67167, longitude: 2.79697",""
etn:bpns:1376:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1392:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1392:event-receiver-deployment,receiver id,VR2C-450136,""
etn:bpns:1392:event-receiver-deployment,receiver status,available,""
etn:bpns:1392:event-receiver-deployment,receiver drop dead date,2015-04-21,""
etn:bpns:1392:event-receiver-deployment,receiver intended coordinates,"latitude: 51.56667, longitude: 2.98333",""
etn:bpns:1395:event-receiver-deployment,receiver status,broken,""
etn:bpns:1395:event-receiver-deployment,receiver id,VR2W-123812,""
etn:bpns:1395:event-receiver-deployment,receiver intended coordinates,"latitude: 51.16017, longitude: 2.69183",""
etn:bpns:1395:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1395:event-receiver-deployment,receiver drop dead date,2015-06-04,""
etn:bpns:1396:event-receiver-deployment,receiver id,VR2W-123825,""
etn:bpns:1396:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1396:event-receiver-deployment,receiver status,available,""
etn:bpns:1396:event-receiver-deployment,receiver drop dead date,2015-06-04,""
etn:bpns:1398:event-receiver-deployment,receiver id,VR2W-123824,""
etn:bpns:1398:event-receiver-deployment,receiver intended coordinates,"latitude: 51.39133, longitude: 3.30367",""
etn:bpns:1398:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1398:event-receiver-deployment,receiver status,broken,""
etn:bpns:1398:event-receiver-deployment,receiver drop dead date,2015-06-10,""
etn:bpns:1399:event-receiver-deployment,receiver drop dead date,2015-06-10,""
etn:bpns:1399:event-receiver-deployment,receiver status,broken,""
etn:bpns:1399:event-receiver-deployment,receiver intended coordinates,"latitude: 51.28717, longitude: 2.87917",""
etn:bpns:1399:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1399:event-receiver-deployment,receiver id,VR2W-123827,""
etn:bpns:1400:event-receiver-deployment,receiver drop dead date,2015-06-27,""
etn:bpns:1400:event-receiver-deployment,receiver id,VR2W-110781,""
etn:bpns:1400:event-receiver-deployment,receiver status,available,""
etn:bpns:1400:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1438:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1438:event-receiver-deployment,receiver intended coordinates,"latitude: 51.35067, longitude: 2.70367",""
etn:bpns:1438:event-receiver-deployment,receiver id,VR2W-110778,""
etn:bpns:1438:event-receiver-deployment,receiver drop dead date,2015-07-11,""
etn:bpns:1438:event-receiver-deployment,receiver status,active,""
etn:bpns:1458:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1458:event-receiver-deployment,receiver id,VR2W-123834,""
etn:bpns:1458:event-receiver-deployment,receiver drop dead date,2015-09-18,""
etn:bpns:1458:event-receiver-deployment,receiver status,lost,""
etn:bpns:1459:event-receiver-deployment,receiver intended coordinates,"latitude: 51.75700, longitude: 2.66533",""
etn:bpns:1459:event-receiver-deployment,receiver status,available,""
