eventid,occurrenceid,measurementtype,measurementvalue,measurementunit
urn:catalog:etn:albert:1377:event-receiver-deployment,"",receiver id,VR2W-122319,""
urn:catalog:etn:albert:1377:event-receiver-deployment,"",receiver type,acoustic telemetry,""
urn:catalog:etn:albert:1377:event-receiver-deployment,"",receiver intended coordinates,"latitude: 51.09788, longitude: 5.10885",""
urn:catalog:etn:albert:1377:event-receiver-deployment,"",receiver status,available,""
urn:catalog:etn:albert:1385:event-receiver-deployment,"",receiver intended coordinates,"latitude: 51.09721, longitude: 5.10960",""
urn:catalog:etn:albert:1385:event-receiver-deployment,"",receiver type,acoustic telemetry,""
urn:catalog:etn:albert:1385:event-receiver-deployment,"",receiver id,VR2W-122331,""
urn:catalog:etn:albert:1385:event-receiver-deployment,"",receiver status,available,""
urn:catalog:etn:albert:1401:event-receiver-deployment,"",receiver type,acoustic telemetry,""
urn:catalog:etn:albert:1401:event-receiver-deployment,"",receiver drop dead date,2015-07-01,""
urn:catalog:etn:albert:1401:event-receiver-deployment,"",receiver status,active,""
urn:catalog:etn:albert:1401:event-receiver-deployment,"",receiver id,VR2W-122326,""
urn:catalog:etn:albert:1462:event-receiver-deployment,"",receiver id,VR2W-122331,""
urn:catalog:etn:albert:1462:event-receiver-deployment,"",receiver drop dead date,2015-10-01,""
urn:catalog:etn:albert:1462:event-receiver-deployment,"",receiver status,available,""
urn:catalog:etn:albert:1462:event-receiver-deployment,"",receiver type,acoustic telemetry,""
urn:catalog:etn:albert:1463:event-receiver-deployment,"",receiver intended coordinates,"latitude: 51.09788, longitude: 5.10885",""
urn:catalog:etn:albert:1463:event-receiver-deployment,"",receiver status,available,""
urn:catalog:etn:albert:1463:event-receiver-deployment,"",receiver drop dead date,2015-10-01,""
urn:catalog:etn:albert:1463:event-receiver-deployment,"",receiver id,VR2W-122319,""
urn:catalog:etn:albert:1463:event-receiver-deployment,"",receiver type,acoustic telemetry,""
urn:catalog:etn:albert:1464:event-receiver-deployment,"",receiver id,VR2W-122321,""
urn:catalog:etn:albert:1464:event-receiver-deployment,"",receiver type,acoustic telemetry,""
urn:catalog:etn:albert:1464:event-receiver-deployment,"",receiver drop dead date,2015-10-01,""
urn:catalog:etn:albert:1464:event-receiver-deployment,"",receiver status,available,""
urn:catalog:etn:albert:1473:event-receiver-deployment,"",receiver id,VR2W-122336,""
urn:catalog:etn:albert:1473:event-receiver-deployment,"",receiver status,active,""
urn:catalog:etn:albert:1473:event-receiver-deployment,"",receiver intended coordinates,"latitude: 51.09748, longitude: 5.10920",""
