type,modified,language,license,rightsholder,institutioncode,datasetid,datasetname,basisofrecord,eventid,samplingprotocol,eventdate,locality,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters
Event,2019-09-09T15:15:08Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:234:event-release,release,2012-01-23T19:10:00Z,Bovenschelde Asper - upstream complex Asper near receiver - right bank,50.91475,3.67292,WGS84,30
Event,2019-09-09T15:15:08Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:234:event-surgery,surgery,2012-01-23T00:00:00Z,Asper,50.91803,3.66801,WGS84,30
Event,2019-09-12T13:02:48Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:561:event-capture,,2011-01-06T00:00:00Z,weir Merelbeke,51.00829,3.74772,WGS84,30
Event,2019-09-12T13:02:48Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:561:event-release,release,2011-01-06T00:00:00Z,weir gutter Merelbeke - about 80 m downstream bridge center of Merelbeke,51.00671,3.75257,WGS84,30
Event,2019-09-12T13:02:48Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:561:event-surgery,surgery,2011-01-06T00:00:00Z,Merelbeke,51.00671,3.75257,WGS84,30
Event,2019-09-12T13:05:11Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:562:event-capture,,2011-02-16T13:36:00Z,weir Merelbeke,51.00829,3.74772,WGS84,30
Event,2019-09-12T13:05:11Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:562:event-release,release,2011-02-16T13:36:00Z,Stuwgeul Merelbeke - T.h.v. Brug centrum Merelbeke aan trapje van receiver 112294,51.00714,3.75108,WGS84,30
Event,2019-09-12T13:05:11Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:562:event-surgery,surgery,2011-02-16T00:00:00Z,Merelbeke,51.00714,3.75108,WGS84,30
Event,2019-09-12T13:24:33Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:563:event-capture,,2011-12-13T16:30:00Z,weir Merelbeke,51.00829,3.74772,WGS84,30
Event,2019-09-12T13:24:33Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:563:event-release,release,2011-12-13T16:30:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.9931,3.72428,WGS84,30
Event,2019-09-12T13:24:33Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:563:event-surgery,surgery,2011-12-13T00:00:00Z,Merelbeke,50.9931,3.72428,WGS84,30
Event,2019-09-12T13:08:52Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:564:event-capture,,2011-01-26T10:00:00Z,weir Merelbeke,51.00829,3.74772,WGS84,30
Event,2019-09-12T13:08:52Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:564:event-release,release,2011-01-26T10:00:00Z,Stuwgeul Merelbeke - T.h.v. Brug centrum Merelbeke aan trapje van receiver 112294,51.00714,3.75108,WGS84,30
Event,2019-09-12T13:08:52Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:564:event-surgery,surgery,2011-01-26T00:00:00Z,Merelbeke,51.00714,3.75108,WGS84,30
Event,2019-09-12T13:10:40Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:565:event-capture,,2011-01-06T00:00:00Z,weir Merelbeke,51.00829,3.74772,WGS84,30
Event,2019-09-12T13:10:40Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:565:event-release,release,2011-01-06T00:00:00Z,weir gutter Merelbeke - about 80 m downstream bridge center of Merelbeke,51.00687,3.75198,WGS84,30
Event,2019-09-12T13:10:40Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:565:event-surgery,surgery,2011-01-06T00:00:00Z,Merelbeke,51.00687,3.75198,WGS84,30
Event,2019-09-12T13:12:10Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:566:event-capture,,2011-01-06T00:00:00Z,weir Merelbeke,51.00829,3.74772,WGS84,30
Event,2019-09-12T13:12:10Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:566:event-release,release,2011-01-06T00:00:00Z,weir gutter Merelbeke - about 80 m downstream bridge center of Merelbeke,51.00687,3.75198,WGS84,30
Event,2019-09-12T13:12:10Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:566:event-surgery,surgery,2011-01-06T00:00:00Z,Merelbeke,51.00687,3.75198,WGS84,30
Event,2019-09-16T09:12:52Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:567:event-capture,,2011-01-12T00:00:00Z,weir Merelbeke,51.00835,3.74748,WGS84,30
Event,2019-09-16T09:12:52Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:567:event-release,release,2011-01-12T00:00:00Z,Zuidervak Ringvaart - T.h.v. kleine spoorwegbrug,51.0067,3.7784,WGS84,30
Event,2019-09-16T09:12:52Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:567:event-surgery,surgery,2011-01-12T00:00:00Z,Merelbeke,51.00835,3.74748,WGS84,30
Event,2019-09-16T08:33:13Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:568:event-capture,,2012-01-09T00:00:00Z,abandonned fykes (?),50.91645,3.66829,WGS84,30
Event,2019-09-16T08:33:13Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:568:event-release,release,2012-01-09T00:00:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.72347,WGS84,30
Event,2019-09-16T08:33:13Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:568:event-surgery,surgery,2012-01-09T00:00:00Z,Asper,50.91645,3.66829,WGS84,30
Event,2019-09-12T13:14:32Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:569:event-capture,,2011-01-12T00:00:00Z,weir Merelbeke,51.00829,3.74772,WGS84,30
Event,2019-09-12T13:14:32Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:569:event-release,release,2011-01-12T00:00:00Z,Weir gutter Merelbeke - Bridge centre Merelbeke at receiver 112294,51.00715,3.75104,WGS84,30
Event,2019-09-12T13:14:32Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:569:event-surgery,surgery,2011-01-12T00:00:00Z,Merelbeke,51.00715,3.75104,WGS84,30
Event,2019-09-16T09:03:10Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:570:event-capture,,2011-01-12T00:00:00Z,weir Merelbeke,51.00835,3.74748,WGS84,30
Event,2019-09-16T09:03:10Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:570:event-release,release,2011-01-12T00:00:00Z,Tijarm - T.h.v. eerste receiver op de Tijarm 1 (SA) - receiver 112288,51.00151,3.7433,WGS84,30
Event,2019-09-16T09:03:10Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:570:event-surgery,surgery,2012-01-12T00:00:00Z,Merelbeke,51.00835,3.74748,WGS84,30
Event,2019-09-16T08:36:57Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:571:event-capture,,2012-01-10T00:00:00Z,weir Asper,50.91645,3.66829,WGS84,30
Event,2019-09-16T08:36:57Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:571:event-release,release,2012-01-10T15:20:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.72347,WGS84,30
Event,2019-09-16T08:36:57Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:571:event-surgery,surgery,2012-01-10T00:00:00Z,Asper,50.91645,3.66829,WGS84,30
Event,2019-09-16T08:45:32Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:572:event-capture,,2012-01-09T23:00:00Z,weir Merelbeke,51.00835,3.74748,WGS84,30
Event,2019-09-16T08:45:32Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:572:event-release,release,2012-01-10T15:20:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.72347,WGS84,30
Event,2019-09-16T08:45:32Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:572:event-surgery,surgery,2012-01-10T00:00:00Z,Merelbeke,51.00835,3.74748,WGS84,30
Event,2019-09-09T14:41:36Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:573:event-capture,,2011-11-15T00:00:00Z,fishway Asper,50.91803,3.66801,WGS84,30
Event,2019-09-09T14:41:36Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:573:event-release,release,2011-12-16T17:15:00Z,Bovenschelde Asper - upstream complex Asper near receiver,50.91475,3.67292,WGS84,30
Event,2019-09-09T14:41:36Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:573:event-surgery,surgery,2011-11-15T00:00:00Z,fishway Asper,50.91803,3.66801,WGS84,30
Event,2019-09-09T15:17:15Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:574:event-capture,,2012-01-13T00:00:00Z,fishway Asper,50.91803,3.66801,WGS84,30
Event,2019-09-09T15:17:15Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:574:event-release,release,2012-01-13T17:20:00Z,Bovenschelde Asper - upstream complex Asper near receiver - left bank,50.91803,3.67292,WGS84,30
Event,2019-09-09T15:17:15Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:574:event-surgery,surgery,2012-01-13T00:00:00Z,Asper,50.91803,3.66801,WGS84,30
Event,2019-09-12T13:22:28Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:575:event-capture,,2011-01-26T10:00:00Z,weir Merelbeke,51.00829,3.74772,WGS84,30
Event,2019-09-12T13:22:28Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:575:event-release,release,2011-01-26T10:00:00Z,Zuidervak Ringvaart - T.h.v. receiver brug R4/afrit E40 Merelbeke,51.00482,3.76884,WGS84,30
Event,2019-09-12T13:22:28Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:575:event-surgery,surgery,2011-01-26T00:00:00Z,Merelbeke,51.00482,3.76884,WGS84,30
Event,2019-09-16T08:38:32Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:576:event-capture,,2012-01-09T00:30:00Z,abandonned fykes (?),50.91645,3.66829,WGS84,30
Event,2019-09-16T08:38:32Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:576:event-release,release,2012-01-09T12:30:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.72347,WGS84,30
Event,2019-09-16T08:38:32Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:576:event-surgery,surgery,2012-01-09T00:00:00Z,Asper,50.91645,3.66829,WGS84,30
Event,2019-09-16T08:46:43Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:577:event-capture,,2011-12-13T16:30:00Z,weir Merelbeke,51.00835,3.74748,WGS84,30
Event,2019-09-16T08:46:43Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:577:event-release,release,2011-12-13T16:30:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.72347,WGS84,30
Event,2019-09-16T08:46:43Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:577:event-surgery,surgery,2011-12-13T00:00:00Z,Merelbeke,51.00835,3.74748,WGS84,30
Event,2019-09-09T15:19:20Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:578:event-capture,,2012-11-28T00:00:00Z,fishway Asper,50.91803,3.66801,WGS84,30
Event,2019-09-09T15:19:20Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:578:event-release,release,2011-12-28T13:56:00Z,Bovenschelde Asper - upstream complex Asper near receiver,50.91475,3.67292,WGS84,30
Event,2019-09-09T15:19:20Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:578:event-surgery,surgery,2012-11-28T00:00:00Z,Asper,50.91803,3.66801,WGS84,30
Event,2019-09-12T11:30:38Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:579:event-capture,,2012-01-05T00:00:00Z,weir gutter Asper,50.91641,3.66844,WGS84,30
Event,2019-09-12T11:30:38Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:579:event-release,release,2012-01-05T00:00:00Z,Ongeveer 100m bovens stuw Asper in sterk stromende stuwgeul :-(,50.91641,3.66844,WGS84,30
Event,2019-09-12T11:30:38Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:579:event-surgery,surgery,2012-01-05T00:00:00Z,Asper,50.91641,3.66844,WGS84,30
Event,2019-09-12T11:31:00Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:580:event-capture,,2012-01-05T00:00:00Z,weir gutter Asper,50.91644,3.66829,WGS84,30
Event,2019-09-12T11:31:00Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:580:event-release,release,2012-01-05T00:00:00Z,Ongeveer 100m bovens stuw Asper in sterk stromende stuwgeul :-(,50.91644,3.66829,WGS84,30
Event,2019-09-12T11:31:00Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:580:event-surgery,surgery,2012-01-04T00:00:00Z,Asper,50.91644,3.66829,WGS84,30
Event,2019-09-16T08:39:40Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:581:event-capture,,2012-01-09T00:00:00Z,abandonned fykes (?),50.91645,3.66829,WGS84,30
Event,2019-09-16T08:39:40Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:581:event-release,release,2012-01-09T00:00:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.72347,WGS84,30
Event,2019-09-16T08:39:40Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:581:event-surgery,surgery,2012-01-09T00:00:00Z,Asper,50.91645,3.66829,WGS84,30
Event,2019-09-09T15:21:03Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:582:event-capture,,2012-11-28T00:00:00Z,fishway Asper,50.91803,3.66801,WGS84,30
Event,2019-09-09T15:21:03Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:582:event-release,release,2011-12-28T13:56:00Z,Bovenschelde Asper - upstream complex Asper near receiver,50.91475,3.67292,WGS84,30
Event,2019-09-09T15:21:03Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:582:event-surgery,surgery,2012-11-28T00:00:00Z,Asper,50.91803,3.66801,WGS84,30
Event,2019-09-16T08:48:26Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:583:event-capture,,2012-01-10T00:00:00Z,weir Merelbeke,51.00835,3.74748,WGS84,30
