type,modified,language,license,rightsholder,institutioncode,datasetid,datasetname,basisofrecord,eventid,samplingprotocol,eventdate,locality,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters
Event,2019-09-12T11:28:45Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:227:event-capture,,2012-01-23T00:00:00Z,fishway Oudenaarde,50.85005,3.62082,WGS84,30
Event,2019-09-12T11:28:45Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:227:event-release,release,2012-01-23T19:25:00Z,Bovenschelde Oudenaarde - upstream complex Oudenaarde near receiver - right bank,50.84801,3.61661,WGS84,30
Event,2019-09-12T11:28:45Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:227:event-surgery,surgery,2012-01-23T00:00:00Z,Oudenaarde,50.84801,3.61661,WGS84,30
Event,2019-09-12T11:29:53Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:228:event-capture,,2012-01-23T00:00:00Z,fishway Oudenaarde,50.85005,3.62082,WGS84,30
Event,2019-09-12T11:29:53Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:228:event-release,release,2012-01-23T19:25:00Z,Bovenschelde Oudenaarde - upstream complex Oudenaarde near receiver - right bank,50.84801,3.61661,WGS84,30
Event,2019-09-12T11:29:53Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:228:event-surgery,surgery,2012-01-23T00:00:00Z,Oudenaarde,50.84801,3.61661,WGS84,30
Event,2019-09-16T09:06:24Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:233:event-capture,,2011-12-03T00:00:00Z,weir Merelbeke,51.00835,3.74748,WGS84,30
Event,2019-09-16T09:06:24Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:233:event-release,release,2011-12-03T19:05:00Z,downstream Asper (not tijarm!),50.91972,3.66163,WGS84,30
Event,2019-09-16T09:06:24Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:233:event-surgery,surgery,2011-12-03T00:00:00Z,Merelbeke,51.00835,3.74748,WGS84,30
Event,2019-09-09T15:15:08Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),HumanObservation,etn:2011_rivierprik:234:event-capture,,2012-01-23T00:00:00Z,fishway Asper,50.91803,3.66801,WGS84,30
